(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-04-02_spb,,,,
(1000.000 -10.000), Елисеев Борис, (0) - (4), Чирва Иван, (1000.000 +10.000)
(990.000 +10.000), Елисеев Борис, (4) - (0), Тихомиров Андрей, (990.000 -10.000)
(1000.000 +9.331), Елисеев Борис, (4) - (0), Бутаков Никита, (976.712 -9.331)
(1009.331 +0.127), Елисеев Борис, (2) - (2), Шурыгин Егор, (1013.756 -0.127)
2016-05-28_SPB_regional,,,,
(1009.458 -8.994), Елисеев Борис, (0) - (4), Ковалев Александр, (1044.522 +8.994)
(1000.464 +9.418), Елисеев Борис, (4) - (0), Шеляпин Антон, (980.215 -9.418)
(1009.882 -10.250), Елисеев Борис, (0) - (4), Смирнов Антон, (1001.177 +10.250)
(999.631 -9.921), Елисеев Борис, (0) - (4), Лапыгин Антон, (1002.379 +9.921)
