(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-08-14_beginners,,,,
(1000.000 +15.000), Коновалов Виталий, (6) - (0), Ратушняк Дмитрий, (1000.000 -15.000)
(1015.000 -2.613), Коновалов Виталий, (2) - (3), Буденная Анна, (1011.872 +2.613)
(1012.387 -0.653), Коновалов Виталий, (3) - (3), Новикова Юлия, (997.264 +0.653)
(1011.735 -0.378), Коновалов Виталий, (3) - (3), Глушкова Катерина, (1002.976 +0.378)
2016-08-20,,,,
(1011.357 -5.991), Коновалов Виталий, (3) - (3), Глазова Татьяна, (864.406 +5.991)
(1005.366 -11.461), Коновалов Виталий, (0) - (5), Смирнов Антон, (1034.310 +11.461)
(993.904 -10.769), Коновалов Виталий, (0) - (6), Рогозин Антон, (1094.630 +10.769)
(983.135 -8.838), Коновалов Виталий, (1) - (4), Пинчук Алексей, (945.805 +8.838)
2016-10-01,,,,
(974.297 +1.432), Коновалов Виталий, (3) - (3), Куров Вадим, (1007.561 -1.432)
(975.729 +3.828), Коновалов Виталий, (3) - (3), Зубко Дмитрий, (1066.405 -3.828)
(979.557 -1.983), Коновалов Виталий, (3) - (3), Сергеева Александра, (933.361 +1.983)
(977.575 -13.850), Коновалов Виталий, (0) - (6), Пинчук Сергей, (1004.269 +13.850)
(963.725 -18.453), Коновалов Виталий, (0) - (6), Глазова Татьяна, (882.293 +18.453)
