(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-06-18,,,,
(1000.000 -7.781), Курбанов Эмир, (0) - (3), Галкин Дмитрий, (986.977 +7.781)
(992.219 -4.248), Курбанов Эмир, (0) - (2), Ярцев Александр, (1044.904 +4.248)
(987.971 -11.715), Курбанов Эмир, (0) - (4), Бутаков Никита, (927.781 +11.715)
2016-07-20_regionals,,,,
(976.256 -0.205), Курбанов Эмир, (2) - (2), Пинчук Алексей, (969.139 +0.205)
(976.051 -10.802), Курбанов Эмир, (0) - (4), Жигарев Борис, (948.134 +10.802)
(965.250 -7.708), Курбанов Эмир, (0) - (4), Ярцев Александр, (1046.307 +7.708)
2016-08-14_beginners,,,,
(957.541 +0.580), Курбанов Эмир, (3) - (3), Колмаков Петр, (977.721 -0.580)
(958.121 +1.171), Курбанов Эмир, (3) - (3), Новикова Юлия, (998.994 -1.171)
(959.292 -8.846), Курбанов Эмир, (0) - (6), Ратушняк Дмитрий, (999.557 +8.846)
(950.446 +10.039), Курбанов Эмир, (6) - (0), Пылев Владимир, (951.789 -10.039)
