(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2015-11-28,,,,
(1000.000 +0.022), Мухин Анатолий, (2) - (2), Смирнов Антон, (1000.758 -0.022)
(1000.022 -7.296), Мухин Анатолий, (0) - (3), Ярцев Александр, (1009.477 +7.296)
(992.726 +9.700), Мухин Анатолий, (4) - (0), Пинчук Сергей, (982.306 -9.700)
(1002.426 +0.431), Мухин Анатолий, (2) - (2), Шурыгин Егор, (1017.394 -0.431)
(1002.857 +9.692), Мухин Анатолий, (4) - (0), Ковалев Александр, (992.150 -9.692)
2016-03-12,,,,
(1012.549 +9.933), Мухин Анатолий, (4) - (0), Смирнов Антон, (1010.237 -9.933)
(1022.482 -1.422), Мухин Анатолий, (2) - (2), Борц Ларик, (972.752 +1.422)
(1021.060 -9.973), Мухин Анатолий, (0) - (4), Рогозин Антон, (1021.985 +9.973)
(1011.087 -0.877), Мухин Анатолий, (2) - (2), Ковалев Александр, (980.525 +0.877)
(1010.210 -0.205), Мухин Анатолий, (2) - (2), Годелашвили Александр, (1003.082 +0.205)
