(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-07-30_singletone,,,,
(1000.000 -8.017), Новикова Юлия, (0) - (4), Рогозин Антон, (1069.824 +8.017)
(991.983 +7.441), Новикова Юлия, (3) - (0), Куров Вадим, (989.259 -7.441)
(999.424 +0.717), Новикова Юлия, (2) - (2), Шурыгин Егор, (1024.376 -0.717)
(1000.141 -8.645), Новикова Юлия, (0) - (4), Ярцев Александр, (1047.519 +8.645)
(991.496 +7.467), Новикова Юлия, (3) - (0), Сергеева Александра, (989.984 -7.467)
2016-08-14_beginners,,,,
(998.964 +0.045), Новикова Юлия, (3) - (3), Глушкова Катерина, (1000.000 -0.045)
(999.009 -1.745), Новикова Юлия, (3) - (3), Курбанов Эмир, (958.411 +1.745)
(997.264 +0.653), Новикова Юлия, (3) - (3), Коновалов Виталий, (1012.387 -0.653)
(997.916 +12.540), Новикова Юлия, (5) - (0), Слаутин Вячеслав, (999.017 -12.540)
2016-10-29_national,,,,
(1010.456 -4.497), Новикова Юлия, (2) - (3), Шеляпин Антон, (954.476 +4.497)
(1005.959 -15.731), Новикова Юлия, (0) - (6), Годелашвили Александр, (989.020 +15.731)
(990.228 -0.179), Новикова Юлия, (3) - (3), Овешников Андрей, (986.073 +0.179)
(990.049 +17.308), Новикова Юлия, (6) - (0), Шурыгин Егор, (1043.926 -17.308)
