(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2015-11-01,,,,
(1000.000 -0.016), Рогозин Антон, (2) - (2), Шурыгин Егор, (999.433 +0.016)
(999.984 -0.271), Рогозин Антон, (2) - (2), Амирханов Артем, (990.576 +0.271)
(999.713 +10.008), Рогозин Антон, (4) - (0), Овешников Андрей, (1000.000 -10.008)
(1009.721 -0.266), Рогозин Антон, (2) - (2), Смирнов Антон, (1000.493 +0.266)
2015-11-28,,,,
(1009.456 -0.310), Рогозин Антон, (2) - (2), Зубко Дмитрий, (998.681 +0.310)
(1009.146 +9.758), Рогозин Антон, (4) - (0), Смирнов Антон, (1000.737 -9.758)
(1018.904 +4.939), Рогозин Антон, (3) - (1), Ярцев Александр, (1016.773 -4.939)
(1023.842 -10.514), Рогозин Антон, (0) - (4), Годелашвили Александр, (1005.980 +10.514)
(1013.329 -10.368), Рогозин Антон, (0) - (4), Смирнов Михаил, (1000.537 +10.368)
2016-03-12,,,,
(1002.961 +9.527), Рогозин Антон, (4) - (0), Смольников Александр, (986.524 -9.527)
(1012.488 +9.497), Рогозин Антон, (4) - (0), Бутаков Никита, (994.983 -9.497)
(1021.985 +9.973), Рогозин Антон, (4) - (0), Мухин Анатолий, (1021.060 -9.973)
(1031.958 -0.445), Рогозин Антон, (1) - (2), Попов Егор, (1129.667 +0.445)
(1031.513 +9.950), Рогозин Антон, (4) - (0), Гольцов Василий, (1029.792 -9.950)
(1041.464 -7.342), Рогозин Антон, (0) - (4), Попов Егор, (1136.075 +7.342)
2016-04-02_spb,,,,
(1034.121 -1.673), Рогозин Антон, (2) - (2), Ковалев Александр, (975.439 +1.673)
(1032.448 -10.928), Рогозин Антон, (0) - (4), Селин Станислав, (1000.119 +10.928)
(1021.520 -1.025), Рогозин Антон, (2) - (2), Шеляпин Антон, (985.799 +1.025)
(1020.496 +8.483), Рогозин Антон, (4) - (0), Бутаков Никита, (967.381 -8.483)
2016-04-23,,,,
(1028.979 +9.223), Рогозин Антон, (4) - (0), Пинчук Сергей, (1001.932 -9.223)
(1038.202 -3.394), Рогозин Антон, (1) - (2), Шеляпин Антон, (996.583 +3.394)
(1034.808 -0.585), Рогозин Антон, (2) - (2), Иванов Максим, (1014.455 +0.585)
2016-06-26_draft,,,,
(1034.223 +0.609), Рогозин Антон, (2) - (2), Ярцев Александр, (1055.396 -0.609)
(1034.831 +2.590), Рогозин Антон, (2) - (2), Попов Егор, (1126.903 -2.590)
(1037.421 +1.102), Рогозин Антон, (2) - (2), Ковалев Александр, (1075.855 -1.102)
(1038.523 -0.251), Рогозин Антон, (2) - (2), Смирнов Антон, (1029.800 +0.251)
2016-07-20_regionals,,,,
(1038.272 +7.670), Рогозин Антон, (4) - (0), Жигарев Борис, (955.804 -7.670)
(1045.942 +8.151), Рогозин Антон, (4) - (0), Галкин Дмитрий, (980.939 -8.151)
(1054.092 +0.798), Рогозин Антон, (2) - (2), Ковалев Александр, (1081.865 -0.798)
(1054.890 -0.962), Рогозин Антон, (2) - (2), Шурыгин Егор, (1021.351 +0.962)
(1053.928 +6.101), Рогозин Антон, (2) - (0), Попов Егор, (1131.717 -6.101)
(1060.029 +3.816), Рогозин Антон, (2) - (0), Жигарев Борис, (976.143 -3.816)
(1063.845 +5.979), Рогозин Антон, (2) - (0), Попов Егор, (1132.782 -5.979)
2016-07-30_singletone,,,,
(1069.824 +8.017), Рогозин Антон, (4) - (0), Новикова Юлия, (1000.000 -8.017)
(1077.841 +1.599), Рогозин Антон, (2) - (2), Попов Егор, (1133.883 -1.599)
(1079.440 +4.570), Рогозин Антон, (4) - (0), Глазова Татьяна, (868.064 -4.570)
(1084.010 +9.028), Рогозин Антон, (4) - (0), Пинчук Сергей, (1050.147 -9.028)
(1093.038 +8.278), Рогозин Антон, (4) - (0), Шурыгин Егор, (1032.604 -8.278)
2016-08-20,,,,
(1101.316 -12.968), Рогозин Антон, (0) - (6), Галкин Дмитрий, (994.993 +12.968)
(1088.348 +8.460), Рогозин Антон, (6) - (0), Пинчук Сергей, (1034.427 -8.460)
(1096.809 +7.183), Рогозин Антон, (6) - (0), Коновалов Виталий, (996.217 -7.183)
(1103.992 -2.006), Рогозин Антон, (3) - (3), Шурыгин Егор, (1033.346 +2.006)
(1101.986 +1.150), Рогозин Антон, (3) - (3), Попов Егор, (1142.136 -1.150)
2016-10-29_national,,,,
(1103.136 +8.047), Рогозин Антон, (6) - (0), Антонов Евгений, (1034.417 -8.047)
(1111.184 +7.955), Рогозин Антон, (6) - (0), Пинчук Сергей, (1039.115 -7.955)
(1119.139 +9.397), Рогозин Антон, (6) - (0), Зубко Дмитрий, (1098.151 -9.397)
(1128.535 -2.667), Рогозин Антон, (3) - (3), Иванов Максим, (1033.584 +2.667)
(1125.869 +4.456), Рогозин Антон, (3) - (0), Зубко Дмитрий, (1087.890 -4.456)
(1130.324 -6.984), Рогозин Антон, (0) - (3), Овсяников Денис, (984.430 +6.984)
(1123.340 +3.773), Рогозин Антон, (3) - (0), Иванов Максим, (1036.304 -3.773)
(1127.113 -6.138), Рогозин Антон, (0) - (3), Антонов Евгений, (1046.662 +6.138)
