(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-07-30_singletone,,,,
(1000.000 -0.339), Сергеева Александра, (2) - (2), Смирнов Михаил, (988.214 +0.339)
(999.661 -11.431), Сергеева Александра, (0) - (4), Пинчук Алексей, (949.600 +11.431)
(988.230 -5.894), Сергеева Александра, (1) - (3), Жигарев Борис, (957.072 +5.894)
(982.336 +7.648), Сергеева Александра, (3) - (0), Куров Вадим, (989.197 -7.648)
(989.984 -7.467), Сергеева Александра, (0) - (3), Новикова Юлия, (991.496 +7.467)
2016-08-14_beginners,,,,
(982.516 -7.914), Сергеева Александра, (0) - (5), Буденная Анна, (1000.000 +7.914)
(974.602 -9.557), Сергеева Александра, (0) - (6), Ратушняк Дмитрий, (990.000 +9.557)
(965.045 -7.667), Сергеева Александра, (1) - (4), Глазова Татьяна, (849.786 +7.667)
(957.377 +0.639), Сергеева Александра, (3) - (3), Медведев Александр, (979.602 -0.639)
2016-10-01,,,,
(958.016 -8.797), Сергеева Александра, (0) - (6), Глушкова Ирина, (1000.000 +8.797)
(949.219 +1.050), Сергеева Александра, (3) - (3), Коновалов Виталий, (985.832 -1.050)
(950.269 -7.661), Сергеева Александра, (0) - (6), Шурыгин Егор, (1033.063 +7.661)
(942.608 -8.879), Сергеева Александра, (0) - (6), Куров Вадим, (981.730 +8.879)
