(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-02-21,,,,
(1000.000 -10.737), Смольников Александр, (0) - (4), Пинчук Алексей, (974.331 +10.737)
(989.263 -9.708), Смольников Александр, (0) - (4), Смирнов Антон, (999.399 +9.708)
(979.554 +6.970), Смольников Александр, (3) - (0), Глазова Татьяна, (954.953 -6.970)
2016-03-12,,,,
(986.524 -9.527), Смольников Александр, (0) - (4), Рогозин Антон, (1002.961 +9.527)
(976.997 +0.342), Смольников Александр, (2) - (2), Колмаков Петр, (988.901 -0.342)
(977.339 -7.062), Смольников Александр, (0) - (3), Шурыгин Егор, (997.663 +7.062)
(970.277 +0.194), Смольников Александр, (2) - (2), Пинчук Алексей, (977.022 -0.194)
(970.472 -10.616), Смольников Александр, (0) - (4), Жигарев Борис, (949.054 +10.616)
