(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2013-12-01,,,,
(1000.000 -10.244), Антонов Евгений, (0) - (4), Колмаков Петр, (991.521 +10.244)
(989.756 -10.238), Антонов Евгений, (0) - (4), Абдулазизов Озод, (981.472 +10.238)
(979.518 +0.285), Антонов Евгений, (2) - (2), Леньшин Егор, (989.427 -0.285)
(979.803 +0.015), Антонов Евгений, (2) - (2), Щербаков Григорий, (980.341 -0.015)
2014-01-25,,,,
(979.818 -8.537), Антонов Евгений, (0) - (4), Рогозин Антон, (1031.016 +8.537)
(971.281 +0.589), Антонов Евгений, (2) - (2), Филиппов Александр, (991.760 -0.589)
(971.870 +0.015), Антонов Евгений, (2) - (2), Ковалев Александр, (972.383 -0.015)
(971.885 +0.522), Антонов Евгений, (2) - (2), Ярцев Александр, (990.024 -0.522)
(972.406 +10.488), Антонов Евгений, (4) - (0), Смышляев Алексей, (989.376 -10.488)
2014-02-16,,,,
(982.894 +0.059), Антонов Евгений, (2) - (2), Щербаков Григорий, (984.957 -0.059)
(982.954 -0.281), Антонов Евгений, (2) - (2), Ковалев Александр, (973.187 +0.281)
(982.673 +0.049), Антонов Евгений, (2) - (2), Колмаков Петр, (984.383 -0.049)
(982.722 -9.142), Антонов Евгений, (0) - (4), Воробьев Петя, (1012.602 +9.142)
2014-03-09,,,,
(973.580 +1.055), Антонов Евгений, (2) - (2), Шурыгин Егор, (1010.358 -1.055)
(974.634 -8.392), Антонов Евгений, (0) - (4), Рогозин Антон, (1030.984 +8.392)
(966.242 +0.375), Антонов Евгений, (2) - (2), Ярцев Александр, (979.284 -0.375)
(966.617 -8.695), Антонов Евгений, (0) - (4), Воробьев Петя, (1012.222 +8.695)
(957.923 +10.492), Антонов Евгений, (4) - (0), Гончаренко Сергей, (975.014 -10.492)
2014-03-30,,,,
(968.414 -2.393), Антонов Евгений, (1) - (2), Шурыгин Егор, (1001.194 +2.393)
(966.021 +0.422), Антонов Евгений, (2) - (2), Ярцев Александр, (980.695 -0.422)
(966.444 -1.458), Антонов Евгений, (1) - (3), Попов Егор, (1095.061 +1.458)
(964.985 +0.388), Антонов Евгений, (2) - (2), Колмаков Петр, (978.457 -0.388)
2014-05-11_team,,,,
(965.373 +0.389), Антонов Евгений, (2) - (2), Смышляев Алексей, (978.888 -0.389)
(965.762 +13.424), Антонов Евгений, (4) - (0), Рогозин Антон, (1089.749 -13.424)
(979.186 -10.059), Антонов Евгений, (0) - (4), Пинчук Сергей, (977.133 +10.059)
(969.127 -6.827), Антонов Евгений, (0) - (4), Рогозин Антон, (1083.308 +6.827)
2014-05-31_spb_regionals,,,,
(962.300 +1.379), Антонов Евгений, (2) - (2), Овсяников Денис, (1010.528 -1.379)
(963.679 +1.972), Антонов Евгений, (2) - (2), Зубко Дмитрий, (1033.086 -1.972)
(965.651 +12.266), Антонов Евгений, (3) - (0), Дмитриев Павел, (1045.756 -12.266)
(977.916 +10.684), Антонов Евгений, (4) - (0), Володин Антон, (1001.718 -10.684)
(988.600 +5.711), Антонов Евгений, (2) - (0), Сорокин Валентин, (1038.312 -5.711)
(994.311 -4.962), Антонов Евгений, (0) - (2), Володин Антон, (996.921 +4.962)
(989.348 -4.307), Антонов Евгений, (0) - (2), Сорокин Валентин, (1037.816 +4.307)
2014-06-07_draft,,,,
(985.041 -7.064), Антонов Евгений, (0) - (4), Рогозин Антон, (1090.135 +7.064)
(977.977 +3.358), Антонов Евгений, (2) - (2), Попов Егор, (1099.357 -3.358)
(981.335 +0.226), Антонов Евгений, (2) - (2), Шурыгин Егор, (989.173 -0.226)
(981.561 -7.212), Антонов Евгений, (0) - (4), Борц Ларик, (1081.061 +7.212)
2014-06-15,,,,
(974.349 +12.339), Антонов Евгений, (4) - (0), Зубко Дмитрий, (1057.130 -12.339)
(986.688 -6.374), Антонов Евгений, (0) - (4), Рогозин Антон, (1118.672 +6.374)
(980.314 +0.764), Антонов Евгений, (2) - (2), Смирнов Виктор, (1006.922 -0.764)
(981.078 +3.801), Антонов Евгений, (2) - (2), Попов Егор, (1120.119 -3.801)
(984.879 -3.194), Антонов Евгений, (0) - (2), Попов Егор, (1116.318 +3.194)
(981.685 +5.114), Антонов Евгений, (2) - (0), Ковалев Александр, (989.615 -5.114)
(986.799 -3.238), Антонов Евгений, (0) - (2), Попов Егор, (1114.730 +3.238)
2014-11-08,,,,
(983.561 -0.289), Антонов Евгений, (2) - (2), Смирнов Михаил, (973.500 +0.289)
(983.272 +2.429), Антонов Евгений, (2) - (2), Зубко Дмитрий, (1069.400 -2.429)
(985.701 +0.144), Антонов Евгений, (2) - (2), Шурыгин Егор, (990.707 -0.144)
(985.845 -11.079), Антонов Евгений, (0) - (4), Пинчук Алексей, (948.213 +11.079)
2014-12-13,,,,
(974.767 -9.568), Антонов Евгений, (0) - (4), Мухин Анатолий, (989.794 +9.568)
(965.199 +10.341), Антонов Евгений, (4) - (0), Смирнов Михаил, (977.039 -10.341)
(975.539 -9.773), Антонов Евгений, (0) - (4), Шурыгин Егор, (983.419 +9.773)
(965.766 +11.634), Антонов Евгений, (4) - (0), Ковалев Александр, (1023.062 -11.634)
(977.401 +1.370), Антонов Евгений, (2) - (2), Сизякин Артем, (1025.301 -1.370)
2015-01-31,,,,
(978.771 +9.464), Антонов Евгений, (4) - (0), Смирнов Михаил, (960.136 -9.464)
(988.235 +10.859), Антонов Евгений, (4) - (0), Ярцев Александр, (1018.156 -10.859)
(999.094 -0.504), Антонов Евгений, (2) - (2), Гольцов Василий, (981.573 +0.504)
(998.590 +2.314), Антонов Евгений, (2) - (2), Зубко Дмитрий, (1080.457 -2.314)
(1000.904 +0.622), Антонов Евгений, (2) - (2), Сизякин Артем, (1022.552 -0.622)
2015-03-01,,,,
