(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-01-30,,,,
(1000.000 +1.561), Бутаков Никита, (2) - (2), Ковалев Александр, (1054.683 -1.561)
(1001.561 -2.943), Бутаков Никита, (1) - (3), Ярцев Александр, (1074.057 +2.943)
(998.618 -10.137), Бутаков Никита, (0) - (4), Годелашвили Александр, (993.859 +10.137)
2016-03-12,,,,
(988.481 +8.788), Бутаков Никита, (4) - (0), Борис Жигарев, (946.167 -8.788)
(997.269 -6.397), Бутаков Никита, (0) - (4), Антон Рогозин, (1128.336 +6.397)
(990.872 -9.807), Бутаков Никита, (0) - (4), Александр Годелашвили, (997.562 +9.807)
(981.065 -10.104), Бутаков Никита, (0) - (4), Дмитрий Галкин, (977.446 +10.104)
(970.960 +9.178), Бутаков Никита, (4) - (0), Петр Колмаков, (942.346 -9.178)
2016-04-02_spb,,,,
(980.139 +0.101), Бутаков Никита, (2) - (2), Овсяников Денис, (983.645 -0.101)
(980.240 -1.695), Бутаков Никита, (2) - (2), Жигарев Борис, (920.786 +1.695)
(978.545 -9.697), Бутаков Никита, (0) - (4), Елисеев Борис, (989.071 +9.697)
(968.848 -5.879), Бутаков Никита, (0) - (4), Рогозин Антон, (1121.067 +5.879)
