(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2015-07-04,,,,
(1000.000 -10.010), Бушан Андрей, (0) - (4), Овешников Андрей, (999.641 +10.010)
(989.990 -0.064), Бушан Андрей, (2) - (2), Галкин Дмитрий, (987.776 +0.064)
(989.926 -1.042), Бушан Андрей, (2) - (2), Сахаров Илья, (953.592 +1.042)
(988.884 +8.934), Бушан Андрей, (4) - (0), Жигарев Борис, (951.713 -8.934)
2015-08-15,,,,
(997.818 -9.167), Бушан Андрей, (0) - (4), Ковалев Александр, (1026.814 +9.167)
(988.651 +0.033), Бушан Андрей, (2) - (2), Галкин Дмитрий, (989.781 -0.033)
(988.683 +0.838), Бушан Андрей, (2) - (2), Пинчук Сергей, (1017.880 -0.838)
(989.522 -0.058), Бушан Андрей, (2) - (2), Амирханов Артем, (987.502 +0.058)
2015-09-26,,,,
(989.464 +0.303), Бушан Андрей, (2) - (2), Смирнов Антон, (1000.000 -0.303)
(989.767 -5.788), Бушан Андрей, (0) - (4), Попов Егор, (1145.824 +5.788)
(983.979 -10.199), Бушан Андрей, (0) - (4), Амирханов Артем, (977.080 +10.199)
(973.780 -10.034), Бушан Андрей, (0) - (4), Годелашвили Александр, (972.593 +10.034)
2015-10-10_national,,,,
(963.746 -7.367), Бушан Андрей, (0) - (4), Ковалев Александр, (1057.427 +7.367)
(956.379 +0.651), Бушан Андрей, (2) - (2), Амирханов Артем, (979.031 -0.651)
(957.030 +0.507), Бушан Андрей, (2) - (2), Годелашвили Александр, (974.663 -0.507)
(957.537 -1.153), Бушан Андрей, (2) - (2), Шеляпин Антон, (917.297 +1.153)
(956.384 +0.429), Бушан Андрей, (2) - (2), Смирнов Антон, (971.290 -0.429)
