(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-12-13,,,,
(1000.000 0.000), Гаврилов Андрей, (2) - (2), Мамедов Искандер, (1000.000 0.000)
(1000.000 -0.504), Гаврилов Андрей, (2) - (2), Шурыгин Егор, (982.466 +0.504)
(999.496 -10.073), Гаврилов Андрей, (0) - (4), Пинчук Сергей, (996.959 +10.073)
(989.423 -0.824), Гаврилов Андрей, (2) - (2), Пинчук Алексей, (960.728 +0.824)
(988.599 +9.589), Гаврилов Андрей, (4) - (0), Жигарев Борис, (974.323 -9.589)
2015-03-21,,,,
(998.188 -10.714), Гаврилов Андрей, (0) - (4), Шурыгин Егор, (973.352 +10.714)
(987.474 +14.812), Гаврилов Андрей, (4) - (0), Рогозин Антон, (1169.714 -14.812)
(1002.286 -9.029), Гаврилов Андрей, (0) - (4), Селин Станислав, (1036.120 +9.029)
(993.257 -10.524), Гаврилов Андрей, (0) - (4), Селина Анна, (975.044 +10.524)
(982.733 +6.312), Гаврилов Андрей, (3) - (0), Шеляпин Антон, (927.245 -6.312)
2015-04-25,,,,
(989.046 -6.323), Гаврилов Андрей, (0) - (4), Новиков Богдан, (1123.064 +6.323)
(982.722 -0.877), Гаврилов Андрей, (2) - (2), Смирнов Михаил, (952.182 +0.877)
(981.846 -10.608), Гаврилов Андрей, (0) - (4), Жигарев Борис, (960.709 +10.608)
(971.238 -8.239), Гаврилов Андрей, (0) - (4), Ковалев Александр, (1033.048 +8.239)
2015-05-30,,,,
(962.998 -8.461), Гаврилов Андрей, (0) - (4), Гребенщиков Леонид, (1016.896 +8.461)
(954.537 -4.883), Гаврилов Андрей, (0) - (2), Смирнов Михаил, (962.637 +4.883)
(949.654 +10.295), Гаврилов Андрей, (4) - (0), Старк Сергей, (959.907 -10.295)
(959.949 -7.830), Гаврилов Андрей, (0) - (4), Пинчук Сергей, (1036.568 +7.830)
2015-10-10_national,,,,
(952.119 -8.822), Гаврилов Андрей, (0) - (4), Овешников Андрей, (993.231 +8.822)
(943.297 -7.404), Гаврилов Андрей, (0) - (4), Сизякин Артем, (1035.618 +7.404)
(935.893 +1.203), Гаврилов Андрей, (2) - (2), Годелашвили Александр, (977.893 -1.203)
(937.096 -8.853), Гаврилов Андрей, (0) - (4), Галкин Дмитрий, (977.106 +8.853)
(928.243 -4.320), Гаврилов Андрей, (0) - (2), Смирнов Михаил, (975.764 +4.320)
(923.923 -4.690), Гаврилов Андрей, (0) - (2), Колмаков Петр, (945.489 +4.690)
