(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2015-10-10_national,,,,
(1000.000 -0.500), Глазова Татьяна, (2) - (2), Годелашвили Александр, (982.627 +0.500)
(999.500 -6.903), Глазова Татьяна, (0) - (4), Лапыгин Антон, (1110.736 +6.903)
(992.597 -1.904), Глазова Татьяна, (2) - (2), Сахаров Илья, (925.623 +1.904)
(990.693 -10.264), Глазова Татьяна, (0) - (3), Амирханов Артем, (981.520 +10.264)
(980.429 -8.633), Глазова Татьяна, (0) - (4), Володин Антон, (1028.205 +8.633)
2015-11-01,,,,
(971.795 +3.026), Глазова Татьяна, (2) - (2), Ковалев Александр, (1080.333 -3.026)
(974.821 -10.125), Глазова Татьяна, (0) - (4), Годелашвили Александр, (970.472 +10.125)
(964.696 +11.463), Глазова Татьяна, (4) - (0), Борц Ларик, (1015.900 -11.463)
(976.159 -8.883), Глазова Татьяна, (0) - (4), Шурыгин Егор, (1015.120 +8.883)
2015-11-28,,,,
(967.276 +2.914), Глазова Татьяна, (2) - (2), Ярцев Александр, (1071.544 -2.914)
(970.190 -6.810), Глазова Татьяна, (0) - (4), Антонов Евгений, (1085.027 +6.810)
(963.380 +0.515), Глазова Татьяна, (2) - (2), Смирнов Антон, (981.301 -0.515)
(963.896 +0.283), Глазова Татьяна, (2) - (2), Галкин Дмитрий, (973.720 -0.283)
(964.178 -9.139), Глазова Татьяна, (0) - (4), Пинчук Сергей, (994.151 +9.139)
2016-02-21,,,,
(955.039 -6.616), Глазова Татьяна, (0) - (4), Александр Ярцев, (1077.448 +6.616)
(948.423 -5.157), Глазова Татьяна, (0) - (4), Дмитрий Зубко, (1132.089 +5.157)
(943.266 -8.962), Глазова Татьяна, (0) - (3), Смольников Александр, (979.448 +8.962)
2016-04-02_spb,,,,
(934.304 -7.846), Глазова Татьяна, (0) - (4), Пинчук Сергей, (1010.317 +7.846)
(926.458 -8.199), Глазова Татьяна, (0) - (4), Селин Олег, (989.707 +8.199)
(918.258 -8.152), Глазова Татьяна, (0) - (4), Дойников Дмитрий, (983.225 +8.152)
(910.107 -8.640), Глазова Татьяна, (0) - (4), Галкин Дмитрий, (957.636 +8.640)
