(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2015-04-25,,,,
(1000.000 -8.775), Годелашвили Александр, (0) - (4), Антонов Евгений, (1042.761 +8.775)
2015-09-26,,,,
(991.225 -1.363), Годелашвили Александр, (2) - (2), Жигарев Борис, (943.561 +1.363)
(989.861 -5.046), Годелашвили Александр, (0) - (3), Зубко Дмитрий, (1107.878 +5.046)
(984.815 -8.000), Годелашвили Александр, (0) - (3), Смирнов Михаил, (961.641 +8.000)
(976.816 +9.908), Годелашвили Александр, (4) - (0), Бушан Андрей, (973.623 -9.908)
2015-10-10_national,,,,
(986.724 +0.382), Годелашвили Александр, (2) - (2), Глазова Татьяна, (1000.000 -0.382)
(987.106 -8.594), Годелашвили Александр, (0) - (4), Нащекин Алексей, (1036.273 +8.594)
(978.511 -0.619), Годелашвили Александр, (2) - (2), Бушан Андрей, (956.986 +0.619)
(977.893 -1.203), Годелашвили Александр, (2) - (2), Гаврилов Андрей, (935.893 +1.203)
(976.690 -11.077), Годелашвили Александр, (0) - (4), Колмаков Петр, (939.114 +11.077)
(965.612 +5.424), Годелашвили Александр, (2) - (0), Овсяников Денис, (995.137 -5.424)
(971.036 +4.555), Годелашвили Александр, (2) - (0), Шеляпин Антон, (940.060 -4.555)
(975.592 +5.136), Годелашвили Александр, (2) - (0), Смирнов Михаил, (985.020 -5.136)
(980.727 -3.895), Годелашвили Александр, (0) - (2), Ярцев Александр, (1058.765 +3.895)
(976.832 -3.638), Годелашвили Александр, (0) - (2), Антонов Евгений, (1073.944 +3.638)
2015-11-01,,,,
(973.194 +0.352), Годелашвили Александр, (2) - (2), Овешников Андрей, (985.415 -0.352)
(973.546 +10.109), Годелашвили Александр, (4) - (0), Глазова Татьяна, (977.319 -10.109)
(983.654 +2.981), Годелашвили Александр, (2) - (2), Антонов Евгений, (1090.468 -2.981)
(986.635 -5.440), Годелашвили Александр, (0) - (4), Попов Егор, (1157.675 +5.440)
2015-11-28,,,,
(981.196 -6.902), Годелашвили Александр, (0) - (4), Данюшевский Петр, (1092.501 +6.902)
(974.294 +10.430), Годелашвили Александр, (4) - (0), Гладыренко Максим, (989.228 -10.430)
(984.724 +5.089), Годелашвили Александр, (3) - (1), Пинчук Алексей, (987.822 -5.089)
(989.813 +14.384), Годелашвили Александр, (4) - (0), Рогозин Антон, (1153.179 -14.384)
(1004.196 +2.495), Годелашвили Александр, (2) - (2), Антонов Евгений, (1092.751 -2.495)
2016-01-30,,,,
(1006.691 -10.100), Годелашвили Александр, (0) - (4), Пинчук Сергей, (1003.205 +10.100)
(996.591 -0.376), Годелашвили Александр, (2) - (2), Смирнов Антон, (983.519 +0.376)
(996.215 +10.066), Годелашвили Александр, (4) - (0), Бутаков Никита, (998.494 -10.066)
(1006.281 +9.451), Годелашвили Александр, (4) - (0), Смирнов Михаил, (987.196 -9.451)
2016-02-21,,,,
(1015.732 -11.454), Годелашвили Александр, (0) - (4), Дмитрий Галкин, (964.863 +11.454)
(1004.278 +3.595), Годелашвили Александр, (2) - (2), Дмитрий Зубко, (1135.017 -3.595)
(1007.873 -10.091), Годелашвили Александр, (0) - (4), Антон Смирнов, (1004.729 +10.091)
2016-03-12,,,,
(997.783 -0.576), Годелашвили Александр, (2) - (2), Михаил Смирнов, (977.745 +0.576)
(997.206 +1.986), Годелашвили Александр, (2) - (2), Александр Ярцев, (1067.151 -1.986)
(999.193 +9.761), Годелашвили Александр, (4) - (0), Никита Бутаков, (990.889 -9.761)
(1008.954 -10.737), Годелашвили Александр, (0) - (4), Василий Гольцов, (983.304 +10.737)
(998.217 +3.263), Годелашвили Александр, (2) - (2), Анатолий Мухин, (1115.887 -3.263)
2016-04-23,,,,
(1001.480 +9.957), Годелашвили Александр, (4) - (0), Пылев Владимир, (1000.000 -9.957)
(1011.437 -8.331), Годелашвили Александр, (0) - (3), Галкин Дмитрий, (972.763 +8.331)
(1003.106 +10.685), Годелашвили Александр, (4) - (0), Пинчук Сергей, (1026.959 -10.685)
(1013.791 +9.962), Годелашвили Александр, (4) - (0), Иванов Максим, (1012.459 -9.962)
(1023.753 +5.184), Годелашвили Александр, (2) - (2), Попов Егор, (1223.244 -5.184)
(1028.937 -4.540), Годелашвили Александр, (0) - (2), Ковалев Александр, (1061.005 +4.540)
(1024.397 +7.455), Годелашвили Александр, (2) - (0), Попов Егор, (1211.104 -7.455)
(1031.852 -4.364), Годелашвили Александр, (0) - (2), Ярцев Александр, (1076.259 +4.364)
2016-05-21,,,,
(1027.488 -0.923), Годелашвили Александр, (2) - (2), Смирнов Антон, (995.312 +0.923)
(1026.565 +1.796), Годелашвили Александр, (2) - (1), Гольцов Василий, (993.849 -1.796)
(1028.360 -2.514), Годелашвили Александр, (1) - (2), Шурыгин Егор, (1027.724 +2.514)
(1025.847 +9.430), Годелашвили Александр, (4) - (0), Пинчук Алексей, (1006.028 -9.430)
(1035.277 +4.303), Годелашвили Александр, (2) - (2), Попов Егор, (1195.206 -4.303)
2016-06-26_draft,,,,
(1039.580 +2.378), Годелашвили Александр, (2) - (2), Ковалев Александр, (1123.809 -2.378)
(1041.958 -10.503), Годелашвили Александр, (0) - (4), Смирнов Антон, (1024.470 +10.503)
(1031.455 -0.080), Годелашвили Александр, (2) - (2), Шурыгин Егор, (1028.693 +0.080)
(1031.376 -6.089), Годелашвили Александр, (0) - (4), Попов Егор, (1174.891 +6.089)
