(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-10-04_national,,,,
(1000.000 -8.313), Гольцов Василий, (0) - (4), Ермолаев Алексей, (1059.181 +8.313)
(991.687 -9.779), Гольцов Василий, (0) - (4), Елисеев Борис, (999.380 +9.779)
(981.908 -10.807), Гольцов Василий, (0) - (4), Селина Анна, (953.796 +10.807)
(971.101 -9.935), Гольцов Василий, (0) - (4), Смирнов Михаил, (973.368 +9.935)
(961.166 -8.505), Гольцов Василий, (0) - (4), Пинчук Сергей, (1013.487 +8.505)
2014-11-08,,,,
(952.661 -8.950), Гольцов Василий, (0) - (4), Мухин Анатолий, (989.289 +8.950)
(943.711 +1.738), Гольцов Василий, (2) - (2), Ярцев Александр, (1004.731 -1.738)
(945.450 +11.304), Гольцов Василий, (4) - (0), Шурыгин Егор, (991.025 -11.304)
2015-01-31,,,,
(956.754 +11.598), Гольцов Василий, (4) - (0), Пинчук Сергей, (1012.771 -11.598)
(968.353 +13.164), Гольцов Василий, (4) - (0), Зубко Дмитрий, (1082.193 -13.164)
(981.517 +0.472), Гольцов Василий, (2) - (2), Антонов Евгений, (997.940 -0.472)
(981.989 +1.278), Гольцов Василий, (2) - (2), Сизякин Артем, (1026.638 -1.278)
(983.267 +5.128), Гольцов Василий, (2) - (2), Рогозин Антон, (1180.092 -5.128)
2015-03-01,,,,
(988.395 -10.451), Гольцов Василий, (0) - (4), Пинчук Алексей, (972.721 +10.451)
(977.944 -9.958), Гольцов Василий, (0) - (4), Шурыгин Егор, (979.415 +9.958)
(967.987 -0.367), Гольцов Василий, (2) - (2), Смирнов Михаил, (955.213 +0.367)
(967.619 -8.856), Гольцов Василий, (0) - (4), Ярцев Александр, (1007.553 +8.856)
2016-03-12,,,,
(958.763 +10.718), Гольцов Василий, (4) - (0), Дмитрий Галкин, (983.737 -10.718)
(969.481 +6.006), Гольцов Василий, (2) - (2), Егор Попов, (1210.646 -6.006)
(975.487 +7.817), Гольцов Василий, (3) - (0), Михаил Смирнов, (990.163 -7.817)
(983.304 +10.737), Гольцов Василий, (4) - (0), Александр Годелашвили, (1008.954 -10.737)
(994.041 -5.889), Гольцов Василий, (0) - (4), Антон Рогозин, (1145.858 +5.889)
