(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-02-22_spb_city_champs,,,,
(1000.000 0.000), Дмитриев Павел, (2) - (2), Володин Антон, (1000.000 0.000)
(1000.000 0.000), Дмитриев Павел, (2) - (2), Черноножкин Василий, (1000.000 0.000)
(1000.000 +3.232), Дмитриев Павел, (2) - (1), Семенов Олег, (996.475 -3.232)
(1003.232 +9.906), Дмитриев Павел, (4) - (0), Карташев Дмитрий, (999.980 -9.906)
2014-04-19_chronos_protocol,,,,
(1013.138 +9.465), Дмитриев Павел, (4) - (0), Леньшин Егор, (994.521 -9.465)
(1022.603 +9.327), Дмитриев Павел, (4) - (0), Володин Антон, (999.184 -9.327)
(1031.930 -10.655), Дмитриев Павел, (0) - (4), Иванов Алексей, (1009.156 +10.655)
(1021.275 -9.272), Дмитриев Павел, (0) - (4), Абдулазизов Озод, (1046.631 +9.272)
(1012.004 +0.192), Дмитриев Павел, (2) - (2), Сорокин Валентин, (1018.667 -0.192)
(1012.196 -5.334), Дмитриев Павел, (0) - (2), Полевиков Александр, (988.953 +5.334)
(1006.862 +4.708), Дмитриев Павел, (2) - (0), Ковалев Александр, (986.559 -4.708)
(1011.570 +5.137), Дмитриев Павел, (2) - (0), Воробьев Петя, (1021.116 -5.137)
(1016.707 -5.249), Дмитриев Павел, (0) - (2), Смирнов Михаил, (999.395 +5.249)
2014-05-10_spb,,,,
(1011.458 +0.405), Дмитриев Павел, (2) - (2), Лапыгин Антон, (1025.539 -0.405)
(1011.863 +9.447), Дмитриев Павел, (3) - (0), Никитин Сергей, (992.638 -9.447)
(1021.311 +9.243), Дмитриев Павел, (4) - (0), Дынников Савел, (994.961 -9.243)
(1030.554 +9.444), Дмитриев Павел, (4) - (0), Селина Анна, (1011.229 -9.444)
2014-05-31_spb_regionals,,,,
(1039.998 +8.894), Дмитриев Павел, (4) - (0), Селина Анна, (1001.414 -8.894)
(1048.892 -3.136), Дмитриев Павел, (2) - (2), Малич Антон, (936.152 +3.136)
(1045.756 -12.266), Дмитриев Павел, (0) - (3), Антонов Евгений, (965.651 +12.266)
(1033.491 -1.092), Дмитриев Павел, (2) - (2), Шурыгин Егор, (995.413 +1.092)
(1032.399 -10.035), Дмитриев Павел, (0) - (4), Зубко Дмитрий, (1031.180 +10.035)
(1022.364 -1.868), Дмитриев Павел, (2) - (2), Малич Антон, (956.688 +1.868)
(1020.496 -10.996), Дмитриев Павел, (0) - (4), Шурыгин Егор, (985.784 +10.996)
2014-07-28_spb,,,,
(1009.500 +9.654), Дмитриев Павел, (4) - (0), Володин Антон, (997.460 -9.654)
(1019.154 +11.011), Дмитриев Павел, (4) - (0), Привалов Денис, (1054.414 -11.011)
(1030.165 +0.880), Дмитриев Павел, (2) - (2), Ермолаев Алексей, (1060.815 -0.880)
(1031.045 -9.698), Дмитриев Павел, (0) - (4), Лапыгин Антон, (1041.545 +9.698)
2014-08-30,,,,
(1021.347 -10.663), Дмитриев Павел, (0) - (4), Володин Антон, (998.290 +10.663)
(1010.684 +9.396), Дмитриев Павел, (4) - (0), Иванов Максим, (989.688 -9.396)
(1020.081 +9.678), Дмитриев Павел, (4) - (0), Елисеев Борис, (1008.899 -9.678)
(1029.759 -10.556), Дмитриев Павел, (0) - (4), Селин Станислав, (1010.418 +10.556)
2014-10-04_national,,,,
(1019.203 -0.588), Дмитриев Павел, (2) - (2), Овешников Андрей, (998.733 +0.588)
(1018.615 -0.880), Дмитриев Павел, (2) - (2), Ярцев Александр, (987.978 +0.880)
(1017.735 -0.796), Дмитриев Павел, (2) - (2), Мухин Анатолий, (990.031 +0.796)
(1016.939 -0.710), Дмитриев Павел, (2) - (2), Шурыгин Егор, (992.236 +0.710)
(1016.229 -0.205), Дмитриев Павел, (2) - (2), Володин Антон, (1009.094 +0.205)
2015-02-07_spb,,,,
(1016.024 -8.075), Дмитриев Павел, (0) - (4), Сорокин Валентин, (1083.757 +8.075)
(1007.949 -10.897), Дмитриев Павел, (0) - (4), Иванов Максим, (976.693 +10.897)
(997.052 +1.497), Дмитриев Павел, (2) - (1), Шеляпин Антон, (932.525 -1.497)
(998.549 -11.075), Дмитриев Павел, (0) - (4), Мягги Константин, (961.044 +11.075)
(987.474 +9.847), Дмитриев Павел, (3) - (0), Овсяников Денис, (982.173 -9.847)
