(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-02-22_spb_city_champs,,,,
(1000.000 +10.000), Елисеев Борис, (4) - (0), Волков Кирилл, (1000.000 -10.000)
(1010.000 0.000), Елисеев Борис, (2) - (2), Привалов Денис, (1010.000 0.000)
(1010.000 +0.183), Елисеев Борис, (2) - (2), Сорокин Валентин, (1016.347 -0.183)
(1010.183 -10.005), Елисеев Борис, (0) - (4), Черноножкин Василий, (1010.004 +10.005)
2014-04-19_chronos_protocol,,,,
(1000.178 +0.813), Елисеев Борис, (2) - (2), Воробьев Петя, (1028.490 -0.813)
(1000.991 +10.022), Елисеев Борис, (4) - (0), Кравченко Зевс, (1001.750 -10.022)
(1011.012 +2.692), Елисеев Борис, (2) - (2), Борц Ларик, (1106.921 -2.692)
(1013.705 -9.409), Елисеев Борис, (0) - (4), Щербаков Григорий, (1034.271 +9.409)
(1004.296 +9.842), Елисеев Борис, (4) - (0), Полевиков Александр, (998.795 -9.842)
(1014.138 -4.926), Елисеев Борис, (0) - (2), Привалов Денис, (1019.249 +4.926)
(1009.211 +5.092), Елисеев Борис, (2) - (0), Овсяников Денис, (1015.620 -5.092)
(1014.304 +4.229), Елисеев Борис, (2) - (0), Пинчук Сергей, (960.283 -4.229)
(1018.532 +5.277), Елисеев Борис, (2) - (0), Щербаков Григорий, (1037.806 -5.277)
(1023.809 -4.861), Елисеев Борис, (0) - (2), Привалов Денис, (1033.460 +4.861)
2014-05-10_spb,,,,
(1018.948 -0.273), Елисеев Борис, (2) - (2), Селин Станислав, (1009.472 +0.273)
(1018.676 -9.814), Елисеев Борис, (0) - (4), Лапыгин Антон, (1025.134 +9.814)
(1008.861 +9.473), Елисеев Борис, (4) - (0), Ковшиков Тимофей, (990.548 -9.473)
(1018.335 -11.163), Елисеев Борис, (0) - (4), Леонов Антон, (977.736 +11.163)
2014-07-28_spb,,,,
(1007.172 -8.999), Елисеев Борис, (0) - (4), Ермолаев Алексей, (1042.069 +8.999)
(998.173 -9.014), Елисеев Борис, (0) - (4), Лапыгин Антон, (1032.531 +9.014)
2014-08-30,,,,
(989.158 +10.312), Елисеев Борис, (4) - (0), Иванов Максим, (1000.000 -10.312)
(999.470 +9.429), Елисеев Борис, (4) - (0), Селина Анна, (979.594 -9.429)
(1008.899 -9.678), Елисеев Борис, (0) - (4), Дмитриев Павел, (1020.081 +9.678)
(999.221 +10.601), Елисеев Борис, (4) - (0), Володин Антон, (1020.110 -10.601)
2014-10-04_national,,,,
(1009.821 -10.283), Елисеев Борис, (0) - (4), Булатов Вадим, (1000.000 +10.283)
(999.539 +9.774), Елисеев Борис, (4) - (0), Гольцов Василий, (991.701 -9.774)
(1009.313 +8.168), Елисеев Борис, (4) - (0), Колмаков Петр, (944.935 -8.168)
(1017.481 -8.313), Елисеев Борис, (0) - (4), Зубко Дмитрий, (1076.647 +8.313)
(1009.168 -10.467), Елисеев Борис, (0) - (4), Шурыгин Егор, (992.945 +10.467)
2014-11-29_spb,,,,
(998.701 +9.810), Елисеев Борис, (4) - (0), Иванов Максим, (992.102 -9.810)
(1008.511 -0.610), Елисеев Борис, (2) - (2), Селина Анна, (987.305 +0.610)
(1007.901 -7.776), Елисеев Борис, (0) - (4), Лапыгин Антон, (1086.502 +7.776)
(1000.126 +11.550), Елисеев Борис, (4) - (0), Ермолаев Алексей, (1054.433 -11.550)
2015-01-10_spb,,,,
(1011.676 +8.402), Елисеев Борис, (4) - (0), Шеляпин Антон, (955.692 -8.402)
(1020.079 +9.161), Елисеев Борис, (4) - (0), Сергеев Иван, (990.850 -9.161)
(1029.240 -8.660), Елисеев Борис, (0) - (4), Сорокин Валентин, (1076.094 +8.660)
(1020.580 +1.517), Елисеев Борис, (2) - (2), Черноножкин Василий, (1073.697 -1.517)
2015-02-07_spb,,,,
(1022.097 -11.638), Елисеев Борис, (0) - (4), Жигарев Борис, (964.670 +11.638)
(1010.459 -10.533), Елисеев Борис, (0) - (4), Овсяников Денис, (991.916 +10.533)
(999.926 -1.147), Елисеев Борис, (2) - (2), Мягги Константин, (959.897 +1.147)
(998.779 -0.759), Елисеев Борис, (2) - (2), Карташев Дмитрий, (972.344 +0.759)
2015-03-21,,,,
(998.019 -5.204), Елисеев Борис, (0) - (2), Селина Анна, (983.853 +5.204)
(992.816 +10.037), Елисеев Борис, (4) - (0), Галкин Дмитрий, (994.096 -10.037)
(1002.853 +3.793), Елисеев Борис, (2) - (1), Ярцев Александр, (1018.818 -3.793)
(1006.645 -9.756), Елисеев Борис, (0) - (4), Антонов Евгений, (1015.126 +9.756)
(996.889 -8.155), Елисеев Борис, (0) - (4), Сорокин Валентин, (1061.728 +8.155)
2016-04-02_spb,,,,
(988.734 -9.676), Елисеев Борис, (0) - (4), Чирва Иван, (1000.000 +9.676)
(979.058 +10.013), Елисеев Борис, (4) - (0), Тихомиров Андрей, (979.511 -10.013)
(989.071 +9.697), Елисеев Борис, (4) - (0), Бутаков Никита, (978.545 -9.697)
(998.768 +0.986), Елисеев Борис, (2) - (2), Шурыгин Егор, (1033.130 -0.986)
