(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-04-19_chronos_protocol,,,,
(1000.000 +8.982), Иванов Алексей, (4) - (0), Гончаренко Сергей, (964.522 -8.982)
(1008.982 +0.174), Иванов Алексей, (2) - (2), Смирнов Михаил, (1015.024 -0.174)
(1009.156 +10.655), Иванов Алексей, (4) - (0), Дмитриев Павел, (1031.930 -10.655)
(1019.811 -8.090), Иванов Алексей, (0) - (4), Рогозин Антон, (1086.990 +8.090)
(1011.721 +9.596), Иванов Алексей, (4) - (0), Новикова Лилия, (997.692 -9.596)
(1021.317 -10.500), Иванов Алексей, (0) - (4), Ярцев Александр, (1003.939 +10.500)
2014-05-11_team,,,,
(1010.817 +2.685), Иванов Алексей, (2) - (2), Попов Егор, (1106.464 -2.685)
(1013.503 +0.620), Иванов Алексей, (2) - (2), Зубко Дмитрий, (1035.082 -0.620)
(1014.123 +2.224), Иванов Алексей, (2) - (2), Новиков Богдан, (1092.707 -2.224)
(1016.347 +3.011), Иванов Алексей, (2) - (2), Борц Ларик, (1124.323 -3.011)
