(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-02-22_spb_city_champs,,,,
(1000.000 +10.000), Карташев Дмитрий, (4) - (0), Трескунов Игорь, (1000.000 -10.000)
(1010.000 -10.020), Карташев Дмитрий, (0) - (4), Селин Станислав, (1009.292 +10.020)
(999.980 +0.001), Карташев Дмитрий, (2) - (2), Володин Антон, (1000.000 -0.001)
(999.980 -9.906), Карташев Дмитрий, (0) - (4), Дмитриев Павел, (1003.232 +9.906)
2015-02-07_spb,,,,
(990.074 +0.098), Карташев Дмитрий, (2) - (2), Мамедов Искандер, (993.470 -0.098)
(990.172 -8.274), Карташев Дмитрий, (0) - (4), Володин Антон, (1050.756 +8.274)
(981.898 -9.554), Карташев Дмитрий, (0) - (4), Никитин Сергей, (997.409 +9.554)
(972.344 +0.759), Карташев Дмитрий, (2) - (2), Елисеев Борис, (998.779 -0.759)
(973.103 -1.205), Карташев Дмитрий, (2) - (2), Шеляпин Антон, (931.028 +1.205)
