(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2013-11-03,,,,
(1000.000 +10.301), Колмаков Петр, (4) - (0), Нащекин Алексей, (1010.461 -10.301)
(1010.301 -8.751), Колмаков Петр, (0) - (4), Попов Егор, (1053.928 +8.751)
(1001.550 +0.000), Колмаков Петр, (2) - (2), Филиппов Александр, (1001.556 -0.000)
(1001.550 -10.030), Колмаков Петр, (0) - (4), Абдулазизов Озод, (1000.524 +10.030)
2013-12-01,,,,
(991.521 +10.244), Колмаков Петр, (4) - (0), Антонов Евгений, (1000.000 -10.244)
(1001.765 -9.623), Колмаков Петр, (0) - (4), Данюшевский Петр, (1014.870 +9.623)
(992.142 -8.838), Колмаков Петр, (0) - (4), Борц Ларик, (1032.682 +8.838)
(983.303 +1.406), Колмаков Петр, (2) - (2), Гребенщиков Леонид, (1032.483 -1.406)
2014-02-16,,,,
(984.709 -0.341), Колмаков Петр, (2) - (2), Ковалев Александр, (972.845 +0.341)
(984.368 +0.015), Колмаков Петр, (2) - (2), Щербаков Григорий, (984.898 -0.015)
(984.383 -0.049), Колмаков Петр, (2) - (2), Антонов Евгений, (982.673 +0.049)
(984.334 +10.031), Колмаков Петр, (4) - (0), Пинчук Сергей, (985.397 -10.031)
2014-03-30,,,,
(994.365 -8.183), Колмаков Петр, (0) - (4), Рогозин Антон, (1058.195 +8.183)
(986.182 -0.044), Колмаков Петр, (2) - (2), Смирнов Виктор, (984.658 +0.044)
(986.138 -7.680), Колмаков Петр, (0) - (4), Новиков Богдан, (1068.225 +7.680)
(978.457 -0.388), Колмаков Петр, (2) - (2), Антонов Евгений, (964.985 +0.388)
(978.070 -0.172), Колмаков Петр, (2) - (2), Николаев Денис, (972.101 +0.172)
2014-04-19_chronos_protocol,,,,
(977.898 +10.635), Колмаков Петр, (4) - (0), Федин Петр, (1000.000 -10.635)
(988.533 -9.393), Колмаков Петр, (0) - (4), Лапыгин Антон, (1009.655 +9.393)
(979.140 +0.592), Колмаков Петр, (2) - (2), Ратников Николай, (999.744 -0.592)
(979.733 -8.562), Колмаков Петр, (0) - (4), Зубко Дмитрий, (1030.060 +8.562)
(971.171 +0.671), Колмаков Петр, (2) - (2), Смирнов Михаил, (994.516 -0.671)
(971.842 +4.991), Колмаков Петр, (2) - (0), Володин Антон, (971.246 -4.991)
(976.834 -5.161), Колмаков Петр, (0) - (2), Николаев Денис, (965.631 +5.161)
(971.672 -5.599), Колмаков Петр, (0) - (2), Малич Антон, (929.834 +5.599)
2014-08-30,,,,
(966.073 -9.774), Колмаков Петр, (0) - (4), Ярцев Александр, (973.924 +9.774)
(956.299 -8.107), Колмаков Петр, (0) - (4), Ковалев Александр, (1022.878 +8.107)
(948.192 -9.092), Колмаков Петр, (0) - (4), Мухин Анатолий, (979.817 +9.092)
(939.100 +1.014), Колмаков Петр, (2) - (2), Старк Сергей, (974.464 -1.014)
2014-10-04_national,,,,
(940.114 +3.223), Колмаков Петр, (2) - (2), Черноножкин Василий, (1056.235 -3.223)
(943.337 +1.598), Колмаков Петр, (2) - (2), Овешников Андрей, (999.322 -1.598)
(944.935 -8.168), Колмаков Петр, (0) - (4), Елисеев Борис, (1009.313 +8.168)
(936.767 -10.186), Колмаков Петр, (0) - (4), Пинчук Алексей, (930.297 +10.186)
(926.581 +10.461), Колмаков Петр, (3) - (0), Малич Антон, (942.608 -10.461)
2015-01-31,,,,
(937.042 -7.924), Колмаков Петр, (0) - (4), Ярцев Александр, (1010.232 +7.924)
(929.118 +2.043), Колмаков Петр, (2) - (2), Пинчук Сергей, (1001.124 -2.043)
(931.161 +2.642), Колмаков Петр, (2) - (2), Ковалев Александр, (1025.183 -2.642)
(933.803 +11.387), Колмаков Петр, (4) - (0), Мухин Анатолий, (982.309 -11.387)
2015-10-10_national,,,,
(945.190 -6.309), Колмаков Петр, (0) - (4), Мухин Анатолий, (1079.792 +6.309)
(938.881 -9.094), Колмаков Петр, (0) - (4), Смирнов Антон, (970.459 +9.094)
(929.788 +1.455), Колмаков Петр, (2) - (2), Галкин Дмитрий, (980.696 -1.455)
(931.243 +9.893), Колмаков Петр, (4) - (0), Сахаров Илья, (927.527 -9.893)
(941.136 +10.917), Колмаков Петр, (4) - (0), Годелашвили Александр, (973.102 -10.917)
(952.053 -4.730), Колмаков Петр, (0) - (2), Смирнов Антон, (970.861 +4.730)
(947.324 +4.684), Колмаков Петр, (2) - (0), Гаврилов Андрей, (925.340 -4.684)
(952.008 -3.831), Колмаков Петр, (0) - (2), Володин Антон, (1034.749 +3.831)
2016-03-12,,,,
(948.176 -8.707), Колмаков Петр, (0) - (4), Ларик Борц, (993.351 +8.707)
(939.469 +1.220), Колмаков Петр, (2) - (2), Смольников Александр, (982.076 -1.220)
(940.690 -8.183), Колмаков Петр, (0) - (4), Антон Смирнов, (1004.535 +8.183)
(932.507 +9.839), Колмаков Петр, (4) - (0), Борис Жигарев, (926.909 -9.839)
(942.346 -9.178), Колмаков Петр, (0) - (4), Никита Бутаков, (970.960 +9.178)
