(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-07-30_singletone,,,,
(1000.000 -10.599), Куров Вадим, (0) - (4), Галкин Дмитрий, (979.156 +10.599)
(989.401 -7.401), Куров Вадим, (0) - (3), Новикова Юлия, (993.975 +7.401)
(982.000 +7.270), Куров Вадим, (3) - (0), Амирханов Артем, (971.320 -7.270)
(989.269 -7.656), Куров Вадим, (0) - (3), Сергеева Александра, (982.043 +7.656)
2016-08-14_beginners,,,,
(981.613 +9.842), Куров Вадим, (6) - (0), Глазова Татьяна, (857.070 -9.842)
(991.455 +0.950), Куров Вадим, (3) - (3), Голубцов Павел, (1013.487 -0.950)
(992.405 +15.974), Куров Вадим, (6) - (0), Слаутин Вячеслав, (1015.000 -15.974)
(1008.379 -2.363), Куров Вадим, (3) - (3), Колмаков Петр, (953.197 +2.363)
