(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-02-22_spb_city_champs,,,,
(1000.000 -10.000), Леонов Антон, (0) - (4), Малынич Александр, (1000.000 +10.000)
(990.000 0.000), Леонов Антон, (2) - (2), Селина Анна, (990.000 0.000)
(990.000 +9.751), Леонов Антон, (4) - (0), Филиппов Александр, (981.344 -9.751)
(999.751 -9.631), Леонов Антон, (0) - (4), Ермолаев Алексей, (1012.577 +9.631)
2014-04-19_chronos_protocol,,,,
(990.120 +1.065), Леонов Антон, (2) - (2), Щербаков Григорий, (1027.273 -1.065)
(991.185 -10.349), Леонов Антон, (0) - (4), Ярцев Александр, (979.049 +10.349)
(980.836 +0.313), Леонов Антон, (2) - (2), Кравченко Зевс, (991.728 -0.313)
(981.149 -8.979), Леонов Антон, (0) - (4), Воробьев Петя, (1016.749 +8.979)
(972.171 +10.235), Леонов Антон, (4) - (0), Орловский Алексей, (980.334 -10.235)
(982.405 -5.317), Леонов Антон, (0) - (2), Николаев Денис, (960.314 +5.317)
(977.088 -5.156), Леонов Антон, (0) - (2), Володин Антон, (966.254 +5.156)
2014-05-10_spb,,,,
(971.932 +10.806), Леонов Антон, (4) - (0), Макаров Ян, (1000.000 -10.806)
(982.738 +3.284), Леонов Антон, (2) - (2), Борц Ларик, (1101.238 -3.284)
(986.022 -8.287), Леонов Антон, (0) - (4), Привалов Денис, (1046.139 +8.287)
(977.736 +11.163), Леонов Антон, (4) - (0), Елисеев Борис, (1018.335 -11.163)
(988.899 +0.371), Леонов Антон, (2) - (2), Селина Анна, (1001.784 -0.371)
2014-05-31_spb_regionals,,,,
(989.270 -7.947), Леонов Антон, (0) - (4), Черноножкин Василий, (1061.613 +7.947)
(981.322 -9.678), Леонов Антон, (0) - (4), Селина Анна, (992.520 +9.678)
(971.644 -9.366), Леонов Антон, (0) - (4), Селин Станислав, (993.710 +9.366)
(962.279 -9.787), Леонов Антон, (0) - (4), Ковалев Александр, (969.697 +9.787)
(952.492 +4.225), Леонов Антон, (2) - (2), Борц Ларик, (1109.078 -4.225)
(956.717 +0.859), Леонов Антон, (2) - (2), Шурыгин Егор, (986.643 -0.859)
(957.576 -9.578), Леонов Антон, (0) - (4), Ковалев Александр, (972.249 +9.578)
