(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-08-30,,,,
(1000.000 -1.187), Мухин Анатолий, (2) - (2), Новикова Лилия, (958.554 +1.187)
(998.813 -8.852), Мухин Анатолий, (0) - (4), Зубко Дмитрий, (1038.875 +8.852)
(989.961 -10.144), Мухин Анатолий, (0) - (4), Овешников Андрей, (984.969 +10.144)
(979.817 +9.092), Мухин Анатолий, (4) - (0), Колмаков Петр, (948.192 -9.092)
(988.909 -1.586), Мухин Анатолий, (2) - (2), Пинчук Алексей, (933.344 +1.586)
2014-10-04_national,,,,
(987.324 +0.122), Мухин Анатолий, (2) - (2), Шурыгин Егор, (991.572 -0.122)
(987.446 +2.585), Мухин Анатолий, (2) - (2), Зубко Дмитрий, (1079.340 -2.585)
(990.031 +0.796), Мухин Анатолий, (2) - (2), Дмитриев Павел, (1017.735 -0.796)
(990.826 -0.063), Мухин Анатолий, (2) - (2), Полевиков Александр, (988.643 +0.063)
(990.764 -1.437), Мухин Анатолий, (2) - (2), Пинчук Алексей, (940.483 +1.437)
2014-11-08,,,,
(989.326 +8.949), Мухин Анатолий, (4) - (0), Гольцов Василий, (952.684 -8.949)
(998.276 -9.105), Мухин Анатолий, (0) - (4), Ковалев Александр, (1029.441 +9.105)
(989.170 -10.178), Мухин Анатолий, (0) - (4), Смирнов Михаил, (982.978 +10.178)
(978.992 +10.802), Мухин Анатолий, (4) - (0), Пинчук Сергей, (1006.922 -10.802)
2014-12-13,,,,
(989.794 +9.568), Мухин Анатолий, (4) - (0), Антонов Евгений, (974.767 -9.568)
(999.362 +4.239), Мухин Анатолий, (2) - (2), Попов Егор, (1156.547 -4.239)
(1003.601 +2.254), Мухин Анатолий, (2) - (2), Зубко Дмитрий, (1083.270 -2.254)
(1005.854 -0.364), Мухин Анатолий, (2) - (2), Шурыгин Егор, (993.192 +0.364)
(1005.490 +0.141), Мухин Анатолий, (2) - (2), Ярцев Александр, (1010.372 -0.141)
2015-01-31,,,,
(1005.631 -7.980), Мухин Анатолий, (0) - (4), Зубко Дмитрий, (1076.780 +7.980)
(997.650 -5.497), Мухин Анатолий, (0) - (4), Рогозин Антон, (1166.173 +5.497)
(992.153 -9.844), Мухин Анатолий, (0) - (4), Пинчук Сергей, (997.568 +9.844)
(982.309 -11.387), Мухин Анатолий, (0) - (4), Колмаков Петр, (933.803 +11.387)
2015-02-07_spb,,,,
(970.922 +2.835), Мухин Анатолий, (2) - (2), Черноножкин Василий, (1072.180 -2.835)
(973.757 -0.117), Мухин Анатолий, (2) - (2), Тихомиров Андрей, (969.693 +0.117)
(973.640 -5.226), Мухин Анатолий, (0) - (4), Попов Егор, (1154.151 +5.226)
(968.413 +10.703), Мухин Анатолий, (4) - (0), Овсяников Денис, (992.876 -10.703)
(979.116 +0.140), Мухин Анатолий, (2) - (2), Селина Анна, (983.993 -0.140)
2015-03-01,,,,
(979.256 +0.114), Мухин Анатолий, (2) - (2), Пинчук Алексей, (983.209 -0.114)
(979.370 +10.685), Мухин Анатолий, (4) - (0), Мамедов Искандер, (1003.214 -10.685)
(990.055 -8.625), Мухин Анатолий, (0) - (4), Ковалев Александр, (1038.131 +8.625)
(981.430 +4.637), Мухин Анатолий, (2) - (2), Попов Егор, (1155.826 -4.637)
2015-04-25,,,,
(986.067 -0.541), Мухин Анатолий, (2) - (2), Галкин Дмитрий, (967.251 +0.541)
(985.526 +11.577), Мухин Анатолий, (4) - (0), Пинчук Сергей, (1040.780 -11.577)
(997.103 +0.445), Мухин Анатолий, (2) - (2), Шурыгин Егор, (1012.590 -0.445)
(997.548 -6.238), Мухин Анатолий, (0) - (4), Новиков Богдан, (1134.996 +6.238)
(991.310 +1.529), Мухин Анатолий, (2) - (2), Сизякин Артем, (1044.847 -1.529)
2015-05-30,,,,
(992.839 +9.317), Мухин Анатолий, (4) - (0), Галкин Дмитрий, (969.071 -9.317)
(1002.156 +0.837), Мухин Анатолий, (2) - (2), Ковалев Александр, (1031.315 -0.837)
(1002.993 +0.407), Мухин Анатолий, (2) - (2), Шурыгин Егор, (1017.125 -0.407)
(1003.400 +11.276), Мухин Анатолий, (4) - (0), Пинчук Сергей, (1047.960 -11.276)
(1014.675 +4.359), Мухин Анатолий, (2) - (2), Попов Егор, (1176.998 -4.359)
2015-07-04,,,,
(1019.035 +0.733), Мухин Анатолий, (2) - (2), Пинчук Сергей, (1044.558 -0.733)
(1019.768 -0.269), Мухин Анатолий, (2) - (2), Ярцев Александр, (1010.408 +0.269)
(1019.499 +9.429), Мухин Анатолий, (4) - (0), Овешников Андрей, (999.655 -9.429)
(1028.928 +9.153), Мухин Анатолий, (4) - (0), Галкин Дмитрий, (999.421 -9.153)
(1038.081 -0.276), Мухин Анатолий, (2) - (2), Шурыгин Егор, (1028.503 +0.276)
2015-08-15,,,,
(1037.805 +8.191), Мухин Анатолий, (4) - (0), Пинчук Алексей, (974.249 -8.191)
(1045.996 +9.712), Мухин Анатолий, (4) - (0), Ковалев Александр, (1035.981 -9.712)
(1055.708 +8.576), Мухин Анатолий, (4) - (0), Амирханов Артем, (1005.894 -8.576)
(1064.284 -0.680), Мухин Анатолий, (2) - (2), Ярцев Александр, (1040.612 +0.680)
(1063.604 +8.569), Мухин Анатолий, (4) - (0), Шишмарев Максим, (1013.531 -8.569)
2015-09-26,,,,
