(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2013-10-13,,,,
(1000.000 +9.719), Нащекин Алексей, (4) - (0), Ковалев Александр, (990.219 -9.719)
(1009.719 +0.008), Нащекин Алексей, (2) - (2), Игнатов Владимир, (1010.000 -0.008)
(1009.727 +10.817), Нащекин Алексей, (4) - (0), Борц Ларик, (1038.172 -10.817)
(1020.544 -10.082), Нащекин Алексей, (0) - (4), Гребенщиков Леонид, (1017.680 +10.082)
2013-11-03,,,,
(1010.461 -10.301), Нащекин Алексей, (0) - (4), Колмаков Петр, (1000.000 +10.301)
(1000.160 +10.296), Нащекин Алексей, (4) - (0), Рогозин Антон, (1010.433 -10.296)
(1010.456 -0.256), Нащекин Алексей, (2) - (2), Филиппов Александр, (1001.556 +0.256)
2013-12-01,,,,
(1010.200 -10.290), Нащекин Алексей, (0) - (4), Рогозин Антон, (1000.137 +10.290)
(999.910 +9.986), Нащекин Алексей, (4) - (0), Леньшин Егор, (999.412 -9.986)
(1009.896 +4.100), Нащекин Алексей, (2) - (1), Гребенщиков Леонид, (1036.582 -4.100)
(1013.996 +8.796), Нащекин Алексей, (4) - (0), Ларин Филипп, (971.954 -8.796)
2014-03-30,,,,
(1022.791 +1.674), Нащекин Алексей, (2) - (2), Новиков Богдан, (1081.520 -1.674)
(1024.466 -0.274), Нащекин Алексей, (2) - (2), Гребенщиков Леонид, (1014.945 +0.274)
(1024.192 -0.850), Нащекин Алексей, (2) - (2), Ковалев Александр, (994.578 +0.850)
(1023.342 +0.040), Нащекин Алексей, (2) - (2), Щербаков Григорий, (1024.735 -0.040)
(1023.382 +9.527), Нащекин Алексей, (4) - (0), Сизякин Артем, (1006.951 -9.527)
2014-08-30,,,,
(1032.909 -8.767), Нащекин Алексей, (0) - (4), Данюшевский Петр, (1075.959 +8.767)
(1024.142 +9.138), Нащекин Алексей, (4) - (0), Овешников Андрей, (994.106 -9.138)
(1033.280 -1.518), Нащекин Алексей, (2) - (2), Ярцев Александр, (980.112 +1.518)
(1031.761 -1.106), Нащекин Алексей, (2) - (2), Смирнов Михаил, (993.164 +1.106)
(1030.655 +8.158), Нащекин Алексей, (4) - (0), Новикова Лилия, (965.926 -8.158)
2015-10-10_national,,,,
(1038.813 -1.891), Нащекин Алексей, (2) - (2), Овсяников Денис, (972.326 +1.891)
(1036.922 +8.464), Нащекин Алексей, (4) - (0), Годелашвили Александр, (983.127 -8.464)
(1045.386 -9.483), Нащекин Алексей, (0) - (4), Ковалев Александр, (1063.354 +9.483)
(1035.903 -1.158), Нащекин Алексей, (2) - (2), Овешников Андрей, (995.502 +1.158)
(1034.745 +0.813), Нащекин Алексей, (2) - (2), Антонов Евгений, (1063.041 -0.813)
