(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-05-10_spb,,,,
(1000.000 -7.411), Никитин Сергей, (0) - (4), Борц Ларик, (1092.030 +7.411)
(992.589 -7.098), Никитин Сергей, (0) - (3), Дмитриев Павел, (1011.247 +7.098)
(985.491 -0.037), Никитин Сергей, (2) - (2), Макаров Ян, (984.217 +0.037)
(985.454 +4.952), Никитин Сергей, (3) - (1), Мягги Константин, (983.781 -4.952)
(990.406 +10.695), Никитин Сергей, (4) - (0), Селин Станислав, (1014.589 -10.695)
2014-07-28_spb,,,,
(1001.101 -0.032), Никитин Сергей, (2) - (2), Сергеев Влад, (1000.000 +0.032)
(1001.069 -0.193), Никитин Сергей, (2) - (2), Селин Станислав, (994.362 +0.193)
(1000.876 +1.477), Никитин Сергей, (2) - (2), Черноножкин Василий, (1052.557 -1.477)
(1002.353 -8.864), Никитин Сергей, (0) - (4), Привалов Денис, (1041.984 +8.864)
2015-01-10_spb,,,,
(993.489 +10.057), Никитин Сергей, (4) - (0), Тихомиров Андрей, (995.485 -10.057)
(1003.546 -8.180), Никитин Сергей, (0) - (4), Сорокин Валентин, (1067.507 +8.180)
(995.367 +2.266), Никитин Сергей, (2) - (2), Черноножкин Василий, (1075.474 -2.266)
(997.632 +8.883), Никитин Сергей, (4) - (0), Шеляпин Антон, (958.643 -8.883)
2015-02-07_spb,,,,
(1006.515 +1.850), Никитин Сергей, (2) - (1), Мягги Константин, (976.318 -1.850)
(1008.365 -9.975), Никитин Сергей, (0) - (4), Пинчук Сергей, (1009.223 +9.975)
(998.389 +9.523), Никитин Сергей, (4) - (0), Карташев Дмитрий, (981.803 -9.523)
(1007.912 -0.697), Никитин Сергей, (2) - (2), Селина Анна, (983.671 +0.697)
(1007.216 -8.781), Никитин Сергей, (0) - (4), Володин Антон, (1049.765 +8.781)
2015-03-21,,,,
(998.434 -7.679), Никитин Сергей, (0) - (4), Лапыгин Антон, (1080.555 +7.679)
(990.755 +1.593), Никитин Сергей, (2) - (2), Ермолаев Алексей, (1046.589 -1.593)
(992.348 -9.645), Никитин Сергей, (0) - (4), Антонов Евгений, (1004.683 +9.645)
(982.703 +8.661), Никитин Сергей, (4) - (0), Шеляпин Антон, (935.907 -8.661)
(991.364 -0.884), Никитин Сергей, (2) - (2), Жигарев Борис, (960.557 +0.884)
2016-04-02_spb,,,,
(990.480 +10.274), Никитин Сергей, (4) - (0), Селин Олег, (1000.000 -10.274)
(1000.754 -0.006), Никитин Сергей, (2) - (2), Иванов Максим, (1000.551 +0.006)
(1000.748 -7.528), Никитин Сергей, (0) - (4), Селин Станислав, (1088.457 +7.528)
(993.220 +8.370), Никитин Сергей, (4) - (0), Жигарев Борис, (936.082 -8.370)
