(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-01-25,,,,
(1000.000 +10.052), Николаев Денис, (4) - (0), Филиппов Александр, (1001.799 -10.052)
(1010.052 -0.010), Николаев Денис, (2) - (2), Зубко Дмитрий, (1009.704 +0.010)
(1010.042 -8.116), Николаев Денис, (0) - (4), Новиков Богдан, (1076.286 +8.116)
(1001.926 +0.730), Николаев Денис, (2) - (2), Борц Ларик, (1027.344 -0.730)
(1002.656 -0.474), Николаев Денис, (2) - (2), Новикова Лилия, (986.159 +0.474)
2014-02-16,,,,
(1002.182 -10.087), Николаев Денис, (0) - (4), Леньшин Егор, (999.172 +10.087)
(992.095 +1.105), Николаев Денис, (2) - (2), Рогозин Антон, (1030.649 -1.105)
(993.200 -9.947), Николаев Денис, (0) - (4), Абдулазизов Озод, (995.049 +9.947)
(983.253 +9.849), Николаев Денис, (4) - (0), Андреев Максим, (978.013 -9.849)
2014-03-30,,,,
(993.102 +9.629), Николаев Денис, (4) - (0), Малич Антон, (980.209 -9.629)
(1002.732 -9.575), Николаев Денис, (0) - (4), Абдулазизов Озод, (1017.523 +9.575)
(993.157 -11.342), Николаев Денис, (0) - (4), Пинчук Сергей, (946.241 +11.342)
(981.815 -9.688), Николаев Денис, (0) - (4), Шурыгин Егор, (992.668 +9.688)
(972.127 +0.172), Николаев Денис, (2) - (2), Колмаков Петр, (978.106 -0.172)
2014-04-19_chronos_protocol,,,,
(972.299 -8.596), Николаев Денис, (0) - (4), Ермолаев Алексей, (1021.387 +8.596)
(963.703 +0.737), Николаев Денис, (2) - (2), Федин Петр, (989.366 -0.737)
(964.440 -6.191), Николаев Денис, (0) - (4), Попов Егор, (1103.800 +6.191)
(958.249 +10.948), Николаев Денис, (4) - (0), Орловский Алексей, (991.283 -10.948)
(969.197 -8.818), Николаев Денис, (0) - (4), Привалов Денис, (1010.448 +8.818)
(960.379 +5.317), Николаев Денис, (2) - (0), Леонов Антон, (982.431 -5.317)
(965.696 +5.162), Николаев Денис, (2) - (0), Колмаков Петр, (976.951 -5.162)
(970.857 +4.852), Николаев Денис, (2) - (0), Гончаренко Сергей, (960.578 -4.852)
(975.710 -4.692), Николаев Денис, (0) - (2), Шурыгин Егор, (997.111 +4.692)
