(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-08-30,,,,
(1000.000 -5.894), Овешников Андрей, (0) - (4), Попов Егор, (1151.616 +5.894)
(994.106 -9.138), Овешников Андрей, (0) - (4), Нащекин Алексей, (1024.142 +9.138)
(984.969 +10.144), Овешников Андрей, (4) - (0), Мухин Анатолий, (989.961 -10.144)
(995.112 -12.094), Овешников Андрей, (0) - (4), Пинчук Алексей, (921.249 +12.094)
2014-09-06_draft,,,,
(983.018 +0.396), Овешников Андрей, (2) - (2), Шурыгин Егор, (996.773 -0.396)
(983.414 +0.824), Овешников Андрей, (2) - (2), Ковалев Александр, (1012.093 -0.824)
(984.237 +2.725), Овешников Андрей, (2) - (2), Зубко Дмитрий, (1081.385 -2.725)
(986.963 +11.771), Овешников Андрей, (4) - (0), Пинчук Сергей, (1049.139 -11.771)
2014-10-04_national,,,,
(998.733 +0.588), Овешников Андрей, (2) - (2), Дмитриев Павел, (1019.203 -0.588)
(999.322 -1.598), Овешников Андрей, (2) - (2), Колмаков Петр, (943.337 +1.598)
(997.724 -8.382), Овешников Андрей, (0) - (4), Черноножкин Василий, (1054.424 +8.382)
(989.342 +11.000), Овешников Андрей, (4) - (0), Пинчук Сергей, (1024.211 -11.000)
(1000.342 -0.701), Овешников Андрей, (2) - (2), Селина Анна, (975.932 +0.701)
2015-07-04,,,,
(999.641 +10.010), Овешников Андрей, (4) - (0), Бушан Андрей, (1000.000 -10.010)
(1009.651 -9.996), Овешников Андрей, (0) - (4), Шурыгин Егор, (1009.797 +9.996)
(999.655 -9.429), Овешников Андрей, (0) - (4), Мухин Анатолий, (1019.499 +9.429)
(990.226 +8.979), Овешников Андрей, (4) - (0), Сахаров Илья, (954.634 -8.979)
(999.205 -5.823), Овешников Андрей, (0) - (4), Попов Егор, (1153.784 +5.823)
2015-10-10_national,,,,
(993.382 +8.865), Овешников Андрей, (4) - (0), Гаврилов Андрей, (953.784 -8.865)
(1002.247 -10.411), Овешников Андрей, (0) - (4), Иванов Максим, (987.954 +10.411)
(991.836 +3.666), Овешников Андрей, (2) - (2), Зубко Дмитрий, (1125.429 -3.666)
(995.502 +1.158), Овешников Андрей, (2) - (2), Нащекин Алексей, (1035.903 -1.158)
(996.660 -10.840), Овешников Андрей, (0) - (4), Смирнов Михаил, (967.393 +10.840)
2015-11-01,,,,
(985.819 -0.455), Овешников Андрей, (2) - (2), Годелашвили Александр, (970.017 +0.455)
(985.365 +2.586), Овешников Андрей, (2) - (2), Ковалев Александр, (1077.306 -2.586)
(987.951 -5.852), Овешников Андрей, (0) - (4), Рогозин Антон, (1141.294 +5.852)
(982.099 +0.127), Овешников Андрей, (2) - (2), Пинчук Алексей, (986.503 -0.127)
