(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-07-05_msk_regional,,,,
(1000.000 -8.957), Пинчук Алексей, (0) - (4), Ермолаев Алексей, (1036.379 +8.957)
(991.043 -10.839), Пинчук Алексей, (0) - (4), Малич Антон, (961.810 +10.839)
(980.204 -10.167), Пинчук Алексей, (0) - (4), Шурыгин Егор, (974.410 +10.167)
(970.037 -9.862), Пинчук Алексей, (0) - (4), Ярцев Александр, (974.838 +9.862)
(960.175 -5.897), Пинчук Алексей, (0) - (4), Рогозин Антон, (1111.643 +5.897)
(954.278 -9.664), Пинчук Алексей, (0) - (4), Полевиков Александр, (965.939 +9.664)
(944.614 -8.560), Пинчук Алексей, (0) - (4), Овсяников Денис, (995.010 +8.560)
2014-08-30,,,,
(936.054 -7.245), Пинчук Алексей, (0) - (4), Пинчук Сергей, (1034.321 +7.245)
(928.809 -7.560), Пинчук Алексей, (0) - (4), Ковалев Александр, (1015.318 +7.560)
(921.249 +12.094), Пинчук Алексей, (4) - (0), Овешников Андрей, (995.112 -12.094)
(933.344 +1.586), Пинчук Алексей, (2) - (2), Мухин Анатолий, (988.909 -1.586)
2014-10-04_national,,,,
(934.929 -6.915), Пинчук Алексей, (0) - (4), Борц Ларик, (1045.726 +6.915)
(928.015 -9.583), Пинчук Алексей, (0) - (4), Малич Антон, (942.510 +9.583)
(918.431 +11.865), Пинчук Алексей, (4) - (0), Смирнов Михаил, (984.008 -11.865)
(930.297 +10.186), Пинчук Алексей, (4) - (0), Колмаков Петр, (936.767 -10.186)
(940.483 +1.437), Пинчук Алексей, (2) - (2), Мухин Анатолий, (990.764 -1.437)
2014-11-08,,,,
(941.920 +3.603), Пинчук Алексей, (2) - (2), Зубко Дмитрий, (1073.003 -3.603)
(945.524 -9.188), Пинчук Алексей, (0) - (4), Смирнов Михаил, (973.790 +9.188)
(936.335 +11.878), Пинчук Алексей, (4) - (0), Ярцев Александр, (1002.356 -11.878)
(948.213 +11.079), Пинчук Алексей, (4) - (0), Антонов Евгений, (985.845 -11.079)
2014-12-13,,,,
(959.292 +10.820), Пинчук Алексей, (4) - (0), Смирнов Михаил, (987.859 -10.820)
(970.112 -0.192), Пинчук Алексей, (1) - (2), Зубко Дмитрий, (1083.079 +0.192)
(969.921 -9.221), Пинчук Алексей, (0) - (4), Ярцев Александр, (997.031 +9.221)
(960.699 +0.825), Пинчук Алексей, (2) - (2), Гаврилов Андрей, (989.432 -0.825)
(961.524 +11.237), Пинчук Алексей, (4) - (0), Мамедов Искандер, (1004.707 -11.237)
2015-03-01,,,,
(972.761 +10.448), Пинчук Алексей, (4) - (0), Гольцов Василий, (988.338 -10.448)
(983.209 -0.114), Пинчук Алексей, (2) - (2), Мухин Анатолий, (979.256 +0.114)
(983.095 +1.616), Пинчук Алексей, (2) - (2), Ковалев Александр, (1039.747 -1.616)
(984.712 -9.775), Пинчук Алексей, (0) - (4), Мамедов Искандер, (992.529 +9.775)
(974.937 -8.368), Пинчук Алексей, (0) - (4), Пинчук Сергей, (1032.142 +8.368)
2015-03-21,,,,
(966.568 +2.065), Пинчук Алексей, (2) - (2), Селин Станислав, (1039.351 -2.065)
(968.633 -4.230), Пинчук Алексей, (1) - (2), Шеляпин Антон, (937.389 +4.230)
(964.403 -7.637), Пинчук Алексей, (0) - (4), Ермолаев Алексей, (1048.070 +7.637)
(956.765 +0.625), Пинчук Алексей, (2) - (2), Галкин Дмитрий, (978.517 -0.625)
(957.391 +11.471), Пинчук Алексей, (4) - (0), Ярцев Александр, (1008.877 -11.471)
2015-05-30,,,,
(968.862 +4.227), Пинчук Алексей, (2) - (1), Амелин Антон, (1000.000 -4.227)
(973.089 -9.264), Пинчук Алексей, (0) - (4), Ярцев Александр, (998.707 +9.264)
(963.825 +10.179), Пинчук Алексей, (4) - (0), Старк Сергей, (970.037 -10.179)
(974.004 -10.033), Пинчук Алексей, (0) - (3), Галкин Дмитрий, (972.857 +10.033)
(963.971 +10.278), Пинчук Алексей, (4) - (0), Сахаров Илья, (973.647 -10.278)
2015-08-15,,,,
(974.249 -8.191), Пинчук Алексей, (0) - (4), Мухин Анатолий, (1037.805 +8.191)
(966.058 -8.904), Пинчук Алексей, (0) - (4), Шишмарев Максим, (1004.296 +8.904)
(957.155 +10.935), Пинчук Алексей, (4) - (0), Галкин Дмитрий, (989.749 -10.935)
(968.090 +11.399), Пинчук Алексей, (4) - (0), Шурыгин Егор, (1017.030 -11.399)
(979.489 -5.571), Пинчук Алексей, (0) - (4), Попов Егор, (1144.808 +5.571)
2015-09-26,,,,
(973.918 +0.392), Пинчук Алексей, (2) - (2), Амирханов Артем, (987.560 -0.392)
(974.311 +1.911), Пинчук Алексей, (2) - (2), Ковалев Александр, (1041.522 -1.911)
(976.221 -0.423), Пинчук Алексей, (2) - (2), Смирнов Михаил, (961.524 +0.423)
(975.799 +10.675), Пинчук Алексей, (4) - (0), Смирнов Антон, (999.301 -10.675)
(986.474 +0.347), Пинчук Алексей, (2) - (2), Галкин Дмитрий, (998.551 -0.347)
2015-11-01,,,,
(986.822 -5.670), Пинчук Алексей, (0) - (4), Попов Егор, (1147.902 +5.670)
(981.152 +2.087), Пинчук Алексей, (2) - (2), Ярцев Александр, (1054.727 -2.087)
(983.238 +3.264), Пинчук Алексей, (2) - (2), Зубко Дмитрий, (1100.957 -3.264)
(986.503 -0.127), Пинчук Алексей, (2) - (2), Овешников Андрей, (982.099 +0.127)
