(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-04-19_chronos_protocol,,,,
(1000.000 +0.909), Полевиков Александр, (2) - (2), Зубко Дмитрий, (1031.674 -0.909)
(1000.909 -9.627), Полевиков Александр, (0) - (4), Привалов Денис, (1013.892 +9.627)
(991.283 -1.560), Полевиков Александр, (2) - (2), Пинчук Сергей, (936.649 +1.560)
(989.723 +9.072), Полевиков Александр, (4) - (0), Гончаренко Сергей, (957.390 -9.072)
(998.795 -9.842), Полевиков Александр, (0) - (4), Елисеев Борис, (1004.296 +9.842)
(988.953 +5.334), Полевиков Александр, (2) - (0), Дмитриев Павел, (1012.196 -5.334)
(994.287 -4.781), Полевиков Александр, (0) - (2), Смирнов Виктор, (1009.541 +4.781)
(989.507 -4.929), Полевиков Александр, (0) - (2), Смирнов Михаил, (994.467 +4.929)
2014-07-05_msk_regional,,,,
(984.578 -9.697), Полевиков Александр, (0) - (4), Смирнов Михаил, (995.123 +9.697)
(974.881 -0.015), Полевиков Александр, (2) - (2), Ярцев Александр, (974.345 +0.015)
(974.866 +10.770), Полевиков Александр, (4) - (0), Смирнов Виктор, (1001.685 -10.770)
(985.636 -9.860), Полевиков Александр, (0) - (4), Пинчук Сергей, (990.518 +9.860)
(975.777 -9.837), Полевиков Александр, (0) - (4), Шурыгин Егор, (981.426 +9.837)
(965.939 +9.664), Полевиков Александр, (4) - (0), Пинчук Алексей, (954.278 -9.664)
(975.604 +11.368), Полевиков Александр, (4) - (0), Щербаков Григорий, (1023.436 -11.368)
2014-10-04_national,,,,
(986.972 +0.976), Полевиков Александр, (2) - (2), Селин Станислав, (1020.974 -0.976)
(987.948 +0.101), Полевиков Александр, (2) - (2), Шурыгин Егор, (991.450 -0.101)
(988.048 +0.594), Полевиков Александр, (2) - (2), Володин Антон, (1008.720 -0.594)
(988.643 +0.063), Полевиков Александр, (2) - (2), Мухин Анатолий, (990.826 -0.063)
(988.706 +1.492), Полевиков Александр, (2) - (2), Борц Ларик, (1040.923 -1.492)
