(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-02-22_spb_city_champs,,,,
(1000.000 +10.000), Привалов Денис, (4) - (0), Куклин Андрей, (1000.000 -10.000)
(1010.000 0.000), Привалов Денис, (2) - (2), Елисеев Борис, (1010.000 0.000)
(1010.000 -8.833), Привалов Денис, (0) - (4), Борц Ларик, (1050.732 +8.833)
(1001.167 +9.966), Привалов Денис, (4) - (0), Володин Антон, (999.999 -9.966)
2014-04-19_chronos_protocol,,,,
(1011.133 +2.758), Привалов Денис, (2) - (2), Попов Егор, (1109.512 -2.758)
(1013.892 +9.627), Привалов Денис, (4) - (0), Полевиков Александр, (1000.909 -9.627)
(1023.518 -10.979), Привалов Денис, (0) - (4), Ярцев Александр, (989.399 +10.979)
(1012.539 -2.107), Привалов Денис, (2) - (2), Пинчук Сергей, (938.209 +2.107)
(1010.432 +8.817), Привалов Денис, (4) - (0), Николаев Денис, (969.130 -8.817)
(1019.249 +4.926), Привалов Денис, (2) - (0), Елисеев Борис, (1014.138 -4.926)
(1024.175 +4.072), Привалов Денис, (2) - (0), Пинчук Сергей, (958.941 -4.072)
(1028.247 +5.212), Привалов Денис, (2) - (0), Щербаков Григорий, (1043.018 -5.212)
(1033.460 +4.861), Привалов Денис, (2) - (0), Елисеев Борис, (1023.809 -4.861)
2014-05-10_spb,,,,
(1038.321 +8.901), Привалов Денис, (4) - (0), Мягги Константин, (1000.000 -8.901)
(1047.222 -1.083), Привалов Денис, (2) - (2), Селина Анна, (1009.444 +1.083)
(1046.139 +8.287), Привалов Денис, (4) - (0), Леонов Антон, (986.022 -8.287)
(1054.426 -8.520), Привалов Денис, (0) - (4), Борц Ларик, (1106.228 +8.520)
2014-07-28_spb,,,,
(1045.906 +8.508), Привалов Денис, (4) - (0), Селина Анна, (993.677 -8.508)
(1054.414 -11.011), Привалов Денис, (0) - (4), Дмитриев Павел, (1019.154 +11.011)
(1043.403 -1.315), Привалов Денис, (2) - (2), Селин Станислав, (997.454 +1.315)
(1042.088 +8.811), Привалов Денис, (4) - (0), Никитин Сергей, (1000.566 -8.811)
2014-11-29_spb,,,,
(1050.898 -9.991), Привалов Денис, (0) - (4), Ермолаев Алексей, (1051.224 +9.991)
(1040.908 +8.526), Привалов Денис, (4) - (0), Степанович Сергей, (989.328 -8.526)
(1049.434 +8.443), Привалов Денис, (4) - (0), Иванов Максим, (994.897 -8.443)
(1057.877 -11.891), Привалов Денис, (0) - (4), Зелянин Дмитрий, (991.368 +11.891)
2015-01-10_spb,,,,
(1045.986 -9.374), Привалов Денис, (0) - (4), Черноножкин Василий, (1067.747 +9.374)
(1036.611 +8.537), Привалов Денис, (4) - (0), Тихомиров Андрей, (985.409 -8.537)
(1045.148 -10.153), Привалов Денис, (0) - (4), Володин Антон, (1039.849 +10.153)
(1034.996 +7.574), Привалов Денис, (4) - (0), Степанович Сергей, (948.984 -7.574)
2015-02-07_spb,,,,
(1042.569 +0.243), Привалов Денис, (2) - (2), Володин Антон, (1050.998 -0.243)
(1042.812 +1.344), Привалов Денис, (2) - (2), Лапыгин Антон, (1089.781 -1.344)
(1044.156 -1.614), Привалов Денис, (2) - (2), Иванов Максим, (987.590 +1.614)
(1042.542 +8.621), Привалов Денис, (4) - (0), Мамедов Искандер, (994.341 -8.621)
(1051.163 +8.782), Привалов Денис, (4) - (0), Зелянин Дмитрий, (1008.624 -8.782)
(1059.945 -5.413), Привалов Денис, (0) - (2), Пинчук Сергей, (1031.174 +5.413)
(1054.532 -5.000), Привалов Денис, (0) - (2), Володин Антон, (1054.512 +5.000)
2015-10-10_national,,,,
(1049.532 +7.839), Привалов Денис, (4) - (0), Смирнов Михаил, (973.261 -7.839)
(1057.371 -1.682), Привалов Денис, (2) - (2), Иванов Максим, (998.366 +1.682)
(1055.689 -9.594), Привалов Денис, (0) - (4), Селин Станислав, (1069.791 +9.594)
(1046.094 +1.004), Привалов Денис, (2) - (2), Ермолаев Алексей, (1081.080 -1.004)
(1047.098 +5.564), Привалов Денис, (2) - (0), Селин Станислав, (1086.457 -5.564)
(1052.662 -3.982), Привалов Денис, (0) - (2), Лапыгин Антон, (1124.408 +3.982)
(1048.680 +4.264), Привалов Денис, (2) - (0), Иванов Максим, (997.183 -4.264)
(1052.944 -4.237), Привалов Денис, (0) - (2), Мухин Анатолий, (1106.370 +4.237)
2016-04-02_spb,,,,
(1048.707 +0.195), Привалов Денис, (2) - (2), Черноножкин Василий, (1055.500 -0.195)
(1048.903 +0.628), Привалов Денис, (2) - (2), Ермолаев Алексей, (1070.753 -0.628)
(1049.531 +9.792), Привалов Денис, (4) - (0), Ковалев Александр, (1042.298 -9.792)
(1059.323 -0.980), Привалов Денис, (2) - (2), Пинчук Сергей, (1025.158 +0.980)
