(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-07-30_singletone,,,,
(1000.000 -0.365), Сергеева Александра, (2) - (2), Смирнов Михаил, (987.305 +0.365)
(999.635 -11.158), Сергеева Александра, (0) - (4), Пинчук Алексей, (959.236 +11.158)
(988.477 -6.436), Сергеева Александра, (1) - (3), Жигарев Борис, (938.248 +6.436)
(982.041 +7.656), Сергеева Александра, (3) - (0), Куров Вадим, (989.268 -7.656)
(989.697 -7.392), Сергеева Александра, (0) - (3), Новикова Юлия, (994.692 +7.392)
2016-08-14_beginners,,,,
(982.305 -11.864), Сергеева Александра, (0) - (5), Буденая Анна, (1000.000 +11.864)
(970.441 -14.372), Сергеева Александра, (0) - (6), Ратушняк Дмитрий, (985.000 +14.372)
(956.069 -11.150), Сергеева Александра, (1) - (4), Глазова Татьяна, (851.567 +11.150)
(944.919 +0.986), Сергеева Александра, (3) - (3), Медведев Александр, (967.793 -0.986)
