(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-11-29_spb,,,,
(1000.000 -10.672), Степанович Сергей, (0) - (4), Селина Анна, (976.633 +10.672)
(989.328 -8.526), Степанович Сергей, (0) - (4), Привалов Денис, (1040.908 +8.526)
(980.802 -9.370), Степанович Сергей, (0) - (4), Селин Станислав, (1002.731 +9.370)
(971.433 -5.614), Степанович Сергей, (1) - (3), Шеляпин Антон, (950.078 +5.614)
2015-01-10_spb,,,,
(965.819 -7.337), Степанович Сергей, (0) - (4), Сорокин Валентин, (1060.638 +7.337)
(958.482 -10.322), Степанович Сергей, (0) - (3), Шеляпин Антон, (947.290 +10.322)
(948.160 +0.825), Степанович Сергей, (2) - (2), Тихомиров Андрей, (976.872 -0.825)
(948.984 -7.574), Степанович Сергей, (0) - (4), Привалов Денис, (1034.996 +7.574)
