(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2014-08-30,,,,
(1000.000 -4.036), Шеляпин Антон, (1) - (2), Селина Анна, (975.558 +4.036)
(995.964 -9.877), Шеляпин Антон, (0) - (4), Селин Станислав, (1000.246 +9.877)
(986.088 -10.167), Шеляпин Антон, (0) - (3), Иванов Максим, (980.292 +10.167)
(975.921 +0.093), Шеляпин Антон, (2) - (2), Зелянин Дмитрий, (979.140 -0.093)
2014-11-29_spb,,,,
(976.013 -9.311), Шеляпин Антон, (0) - (4), Тихомиров Андрей, (1000.000 +9.311)
(966.703 -9.563), Шеляпин Антон, (0) - (4), Зелянин Дмитрий, (981.908 +9.563)
(957.140 -7.062), Шеляпин Антон, (0) - (4), Черноножкин Василий, (1062.319 +7.062)
(950.078 +5.614), Шеляпин Антон, (3) - (1), Степанович Сергей, (971.433 -5.614)
2015-01-10_spb,,,,
(955.692 -8.402), Шеляпин Антон, (0) - (4), Елисеев Борис, (1011.676 +8.402)
(947.290 +10.322), Шеляпин Антон, (3) - (0), Степанович Сергей, (958.482 -10.322)
(957.612 +0.692), Шеляпин Антон, (2) - (2), Сергеев Иван, (981.689 -0.692)
(958.303 -8.917), Шеляпин Антон, (0) - (4), Никитин Сергей, (996.068 +8.917)
2015-02-07_spb,,,,
(949.386 -8.812), Шеляпин Антон, (0) - (3), Сергеев Иван, (990.855 +8.812)
(940.574 -8.049), Шеляпин Антон, (0) - (4), Ковалев Александр, (1009.229 +8.049)
(932.525 -1.497), Шеляпин Антон, (1) - (2), Дмитриев Павел, (997.052 +1.497)
(931.028 +1.205), Шеляпин Антон, (2) - (2), Карташев Дмитрий, (973.103 -1.205)
2015-03-21,,,,
(932.233 +5.156), Шеляпин Антон, (2) - (2), Новиков Богдан, (1130.385 -5.156)
(937.389 +4.230), Шеляпин Антон, (2) - (1), Пинчук Алексей, (968.633 -4.230)
(941.619 -7.218), Шеляпин Антон, (0) - (4), Пинчук Сергей, (1040.887 +7.218)
(934.401 -8.637), Шеляпин Антон, (0) - (4), Никитин Сергей, (982.064 +8.637)
(925.764 -8.374), Шеляпин Антон, (0) - (3), Гаврилов Андрей, (982.754 +8.374)
2015-10-10_national,,,,
(917.390 +3.709), Шеляпин Антон, (2) - (2), Ярцев Александр, (1052.700 -3.709)
(921.099 -5.994), Шеляпин Антон, (0) - (4), Ермолаев Алексей, (1068.554 +5.994)
(915.105 +2.192), Шеляпин Антон, (2) - (2), Зелянин Дмитрий, (992.528 -2.192)
(917.297 +1.153), Шеляпин Антон, (2) - (2), Бушан Андрей, (957.537 -1.153)
(918.451 +12.080), Шеляпин Антон, (4) - (0), Амирханов Артем, (991.784 -12.080)
(930.530 +6.484), Шеляпин Антон, (2) - (0), Володин Антон, (1036.839 -6.484)
(937.014 -4.560), Шеляпин Антон, (0) - (2), Годелашвили Александр, (967.634 +4.560)
(932.454 -3.241), Шеляпин Антон, (0) - (2), Антонов Евгений, (1060.153 +3.241)
2016-04-02_spb,,,,
(929.213 -3.083), Шеляпин Антон, (0) - (3), Попов Егор, (1224.975 +3.083)
(926.130 -7.571), Шеляпин Антон, (0) - (4), Смирнов Антон, (1012.255 +7.571)
(918.560 +5.358), Шеляпин Антон, (2) - (2), Рогозин Антон, (1126.425 -5.358)
(923.918 +11.124), Шеляпин Антон, (4) - (0), Овсяников Денис, (963.148 -11.124)
2016-04-23,,,,
(935.042 +8.509), Шеляпин Антон, (2) - (1), Рогозин Антон, (1134.123 -8.509)
(943.551 -3.275), Шеляпин Антон, (0) - (4), Попов Егор, (1226.802 +3.275)
(940.276 +8.467), Шеляпин Антон, (3) - (1), Привалов Денис, (1065.957 -8.467)
(948.744 -6.599), Шеляпин Антон, (0) - (4), Ярцев Александр, (1071.810 +6.599)
