(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2013-09-14,,,,
(1000.000 +10.000), Шунин Иван, (4) - (0), Сизякин Артем, (1000.000 -10.000)
(1010.000 0.000), Шунин Иван, (2) - (2), Малахов Алексей, (1010.000 0.000)
(1010.000 +3.333), Шунин Иван, (2) - (1), Попов Егор, (1010.000 -3.333)
(1013.333 -0.384), Шунин Иван, (2) - (2), Рогозин Антон, (999.992 +0.384)
(1012.950 -0.245), Шунин Иван, (2) - (2), Воронцов Денис, (1004.433 +0.245)
2013-10-13,,,,
(1012.704 -9.934), Шунин Иван, (0) - (4), Новиков Богдан, (1015.008 +9.934)
(1002.771 -0.353), Шунин Иван, (2) - (2), Смирнов Михаил, (990.504 +0.353)
(1002.418 -10.617), Шунин Иван, (0) - (4), Филиппов Александр, (980.961 +10.617)
(991.801 +9.933), Шунин Иван, (4) - (0), Ларин Филипп, (989.488 -9.933)
