(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2013-12-01,,,,
(1000.000 0.000), Щербаков Григорий, (2) - (2), Бушмакин Евгений, (1000.000 0.000)
(1000.000 -9.700), Щербаков Григорий, (0) - (4), Рогозин Антон, (1010.427 +9.700)
(990.300 -9.959), Щербаков Григорий, (0) - (4), Абдулазизов Озод, (991.710 +9.959)
(980.341 -0.015), Щербаков Григорий, (2) - (2), Антонов Евгений, (979.803 +0.015)
2014-01-25,,,,
(980.325 +2.463), Щербаков Григорий, (2) - (2), Попов Егор, (1067.685 -2.463)
(982.788 +1.330), Щербаков Григорий, (2) - (2), Борц Ларик, (1029.263 -1.330)
(984.118 +10.206), Щербаков Григорий, (4) - (0), Яник Петр, (991.264 -10.206)
(994.323 -9.836), Щербаков Григорий, (0) - (4), Воробьев Петя, (1000.024 +9.836)
(984.487 +0.470), Щербаков Григорий, (2) - (2), Сизякин Артем, (1000.827 -0.470)
2014-02-16,,,,
(984.957 -0.059), Щербаков Григорий, (2) - (2), Антонов Евгений, (982.894 +0.059)
(984.898 -0.015), Щербаков Григорий, (2) - (2), Колмаков Петр, (984.368 +0.015)
(984.883 +10.311), Щербаков Григорий, (4) - (0), Пинчук Сергей, (995.709 -10.311)
(995.194 +13.593), Щербаков Григорий, (4) - (0), Попов Егор, (1125.871 -13.593)
(1008.787 +10.040), Щербаков Григорий, (4) - (0), Леньшин Егор, (1010.192 -10.040)
(1018.828 +11.169), Щербаков Григорий, (4) - (0), Борц Ларик, (1059.634 -11.169)
2014-03-09,,,,
(1029.997 +12.325), Щербаков Григорий, (4) - (0), Попов Егор, (1112.278 -12.325)
(1042.322 -10.846), Щербаков Григорий, (0) - (4), Абдулазизов Озод, (1012.859 +10.846)
(1031.476 +0.970), Щербаков Григорий, (2) - (2), Борц Ларик, (1065.285 -0.970)
(1032.446 -11.259), Щербаков Григорий, (0) - (4), Ковалев Александр, (988.460 +11.259)
(1021.187 -0.592), Щербаков Григорий, (2) - (2), Шурыгин Егор, (1000.603 +0.592)
2014-03-30,,,,
(1020.595 +2.455), Щербаков Григорий, (2) - (2), Попов Егор, (1107.663 -2.455)
(1023.050 +11.620), Щербаков Григорий, (4) - (0), Новиков Богдан, (1079.845 -11.620)
(1034.670 -9.935), Щербаков Григорий, (0) - (4), Данюшевский Петр, (1036.941 +9.935)
(1024.735 -0.040), Щербаков Григорий, (2) - (2), Нащекин Алексей, (1023.342 +0.040)
(1024.695 +2.578), Щербаков Григорий, (2) - (2), Борц Ларик, (1116.331 -2.578)
2014-04-19_chronos_protocol,,,,
(1027.273 -1.065), Щербаков Григорий, (2) - (2), Леонов Антон, (990.120 +1.065)
(1026.208 +7.686), Щербаков Григорий, (4) - (0), Пинчук Сергей, (944.335 -7.686)
(1033.894 +0.377), Щербаков Григорий, (2) - (2), Абдулазизов Озод, (1047.008 -0.377)
(1034.271 +9.409), Щербаков Григорий, (4) - (0), Елисеев Борис, (1013.705 -9.409)
(1043.680 -9.749), Щербаков Григорий, (0) - (4), Черноножкин Василий, (1052.416 +9.749)
(1033.932 +4.344), Щербаков Григорий, (2) - (0), Новикова Лилия, (988.095 -4.344)
(1038.276 +4.742), Щербаков Григорий, (2) - (0), Овсяников Денис, (1020.363 -4.742)
(1043.018 -5.212), Щербаков Григорий, (0) - (2), Привалов Денис, (1028.247 +5.212)
(1037.806 -5.277), Щербаков Григорий, (0) - (2), Елисеев Борис, (1018.532 +5.277)
2014-07-05_msk_regional,,,,
(1032.529 +8.582), Щербаков Григорий, (4) - (0), Ярцев Александр, (982.926 -8.582)
(1041.111 -9.657), Щербаков Григорий, (0) - (4), Черноножкин Василий, (1053.048 +9.657)
(1031.454 -8.881), Щербаков Григорий, (0) - (4), Борц Ларик, (1070.508 +8.881)
(1022.573 +12.852), Щербаков Григорий, (4) - (0), Рогозин Антон, (1124.496 -12.852)
(1035.426 -1.018), Щербаков Григорий, (2) - (2), Ковалев Александр, (999.935 +1.018)
(1034.408 -10.972), Щербаков Григорий, (0) - (4), Пинчук Сергей, (1000.544 +10.972)
(1023.436 -11.368), Щербаков Григорий, (0) - (4), Полевиков Александр, (975.604 +11.368)
