(ratingA +/- deltaA), nameA, (scoreA) - (scoreB), nameB, (ratingB +/- deltaB)
2016-02-21,,,,
(1000.000 -10.749), Смольников Александр, (0) - (4), Алексей Пинчук, (973.911 +10.749)
(989.251 -9.838), Смольников Александр, (0) - (4), Антон Смирнов, (994.891 +9.838)
(979.413 +6.760), Смольников Александр, (3) - (0), Татьяна Глазова, (945.013 -6.760)
2016-03-12,,,,
(986.173 -6.209), Смольников Александр, (0) - (4), Антон Рогозин, (1124.785 +6.209)
(979.963 -1.210), Смольников Александр, (2) - (2), Петр Колмаков, (937.721 +1.210)
(978.753 -6.784), Смольников Александр, (0) - (3), Егор Шурыгин, (1012.034 +6.784)
(971.970 +0.266), Смольников Александр, (2) - (2), Алексей Пинчук, (981.202 -0.266)
(972.235 -11.567), Смольников Александр, (0) - (4), Борис Жигарев, (917.347 +11.567)
